"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","PCSK1N","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","GRP","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","CPE","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","ASCL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","CHGA","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","SCG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","SCG5","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","SYT1","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","SCG3","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroendocrine","SCGN","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","LYZ","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","ZG16B","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","AZGP1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","LTF","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","STATH","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","PIP","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","CLDN10","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","GJC3","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","ODAM","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (nasal)","S100A1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","LYZ","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","LTF","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","PRR4","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","AZGP1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","S100A1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","APIP","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","RP11-1143G9.4","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","PRB3","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","AC078941.1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG serous (bronchial)","C6orf58","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","BPIFB2","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","AZGP1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","FCGBP","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","NKX3-1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","TSPAN8","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","TFF1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","DEFB1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","HMGCS2","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG mucous","CRYM","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","RARRES1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","TCN1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","SAA1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","MIA","","","","","","","","","","","","","","","","","","","","","","","",""
