,gene_symbol,alias
14248,AC067752.1,AC067752.1
14249,AC067751.1,AC067751.1
14252,AL590502.1,AL590502.1
14257,AC022387.2,AC022387.2
14258,AC013287.1,AC013287.1
14259,LINC02671,LINC02671
14264,AL133551.1,AL133551.1
14269,LINC02640,LINC02640
14276,AL513534.2,AL513534.2
14279,AL359844.1,AL359844.1
14286,AL596223.1,AL596223.1
14291,AC016821.1,AC016821.1
14293,AL450311.1,AL450311.1
14317,AC073370.1,AC073370.1
14319,AC022392.1,AC022392.1
14324,DDIT4-AS1,DDIT4-AS1
14327,AC091769.2,AC091769.2
14329,AC016542.1,AC016542.1
14333,AL731563.2,AL731563.2
14334,AL731563.3,AL731563.3
14336,AC016394.2,AC016394.2
14342,AC016394.1,AC016394.1
14349,AC073389.1,AC073389.1
14350,AC073389.3,AC073389.3
14353,AC073389.2,AC073389.2
14355,AC022400.4,AC022400.4
14360,ZSWIM8-AS1,ZSWIM8-AS1
14361,NDST2,NDST2
14363,AC022400.1,AC022400.1
14367,AL596247.1,AL596247.1
14370,AC022540.1,AC022540.1
14372,AC018511.5,AC018511.5
14378,ZNF503,ZNF503
14380,AC010997.5,AC010997.5
14381,AC010997.4,AC010997.4
14383,AL589863.2,AL589863.2
14384,AL589863.1,AL589863.1
14385,AL731568.1,AL731568.1
14389,AL450306.1,AL450306.1
14391,AL391421.1,AL391421.1
14395,AC012560.1,AC012560.1
14396,LINC00595,LINC00595
14397,AC010163.1,AC010163.1
14402,AL133481.3,AL133481.3
14406,LINC02679,LINC02679
14407,AL132656.2,AL132656.2
14409,AL132656.3,AL132656.3
14411,AL135925.1,AL135925.1
14413,AL512662.2,AL512662.2
14426,AC021028.1,AC021028.1
14428,LINC02655,LINC02655
14429,AL096706.1,AL096706.1
14431,AC069540.2,AC069540.2
14432,AL603756.1,AL603756.1
14434,CERNA2,CERNA2
14441,AC022028.2,AC022028.2
14442,AL844892.2,AL844892.2
14443,AL844892.1,AL844892.1
14445,AL731569.1,AL731569.1
14448,AC067750.1,AC067750.1
14452,ADIRF-AS1,ADIRF-AS1
14454,FAM25A,FAM25A
14457,AL136982.3,AL136982.3
14459,AL157893.2,AL157893.2
14463,FAM245A,FAM245A
14464,AL355334.2,AL355334.2
14466,AL138767.3,AL138767.3
14467,AL138767.1,AL138767.1
14472,AC063965.2,AC063965.2
14479,ACTA2-AS1,ACTA2-AS1
14481,AL157394.3,AL157394.3
14486,AL353751.1,AL353751.1
14494,AL157400.2,AL157400.2
14495,AL157400.3,AL157400.3
14496,AL157400.4,AL157400.4
14503,AL365434.2,AL365434.2
14510,AL359198.1,AL359198.1
14514,AL161652.1,AL161652.1
14519,AL358613.1,AL358613.1
14529,AL157396.1,AL157396.1
14532,AL389885.1,AL389885.1
14534,AL139124.1,AL139124.1
14538,AL138759.1,AL138759.1
14540,CYP2C19,CYP2C19
14543,AL157834.1,AL157834.1
14545,AL157834.2,AL157834.2
14552,AL365273.1,AL365273.1
14555,AC021037.1,AC021037.1
14564,ARHGAP19,ARHGAP19
14567,AL355490.1,AL355490.1
14569,AL355490.2,AL355490.2
14578,PI4K2A,PI4K2A
14588,AL139241.1,AL139241.1
14591,AL139243.1,AL139243.1
14595,AL391684.1,AL391684.1
14598,AL353719.1,AL353719.1
14599,AL133353.1,AL133353.1
14609,AL138921.2,AL138921.2
14610,AL138921.1,AL138921.1
14614,AL139819.1,AL139819.1
14618,NDUFB8,NDUFB8
14621,AL138762.1,AL138762.1
14623,AL133215.3,AL133215.3
14630,AL133215.2,AL133215.2
14636,LINC02681,LINC02681
14641,AC010789.2,AC010789.2
14642,AC010789.1,AC010789.1
14664,AL121928.1,AL121928.1
14667,AL391121.1,AL391121.1
14672,AL358790.1,AL358790.1
14674,AS3MT,AS3MT
14675,AL356608.3,AL356608.3
14676,AL356608.1,AL356608.1
14686,AL139339.2,AL139339.2
14687,AL139339.1,AL139339.1
14691,AL121929.1,AL121929.1
14692,AL121929.3,AL121929.3
14694,AL121929.2,AL121929.2
14696,AL133355.1,AL133355.1
14705,ITPRIP-AS1,ITPRIP-AS1
14709,AL133395.1,AL133395.1
14716,AL355512.1,AL355512.1
14720,AL136368.1,AL136368.1
14724,AL158163.2,AL158163.2
14725,AL158163.1,AL158163.1
14730,AL157786.1,AL157786.1
14733,AL158212.5,AL158212.5
14734,AL158212.3,AL158212.3
14736,AL158212.2,AL158212.2
14737,AL133482.1,AL133482.1
14744,AL592546.3,AL592546.3
14746,AC022023.2,AC022023.2
14750,AC005383.1,AC005383.1
14753,AL137025.1,AL137025.1
14757,AC016042.1,AC016042.1
14765,AC023283.1,AC023283.1
14767,AL731557.1,AL731557.1
14769,AL391988.1,AL391988.1
14774,AC022395.1,AC022395.1
14776,AL354863.1,AL354863.1
14781,AL139407.1,AL139407.1
14782,AL157388.1,AL157388.1
14785,DENND10,DENND10
14789,GRK5-IT1,GRK5-IT1
14790,AL583824.1,AL583824.1
14798,LINC01561,LINC01561
14799,AC023282.1,AC023282.1
14801,AL391425.1,AL391425.1
14803,AC010998.2,AC010998.2
14804,AC010998.1,AC010998.1
14805,AC010998.3,AC010998.3
14808,AL731566.3,AL731566.3
14810,AL731566.2,AL731566.2
14812,AC063960.1,AC063960.1
14813,AC063960.2,AC063960.2
14816,BX842242.1,BX842242.1
14820,AL603764.2,AL603764.2
14830,LINC02641,LINC02641
14837,FAM53B,FAM53B
14838,AL513190.1,AL513190.1
14840,EEF1AKMT2,EEF1AKMT2
14842,AL731577.2,AL731577.2
14844,AL731577.1,AL731577.1
14846,AL731571.1,AL731571.1
14847,AL157888.1,AL157888.1
14848,AL158835.1,AL158835.1
14849,EDRF1-DT,EDRF1-DT
14850,AL158835.2,AL158835.2
14860,AL589787.1,AL589787.1
14862,AL359094.1,AL359094.1
14863,INSYN2A,INSYN2A
14867,AL158166.2,AL158166.2
14868,AL158166.1,AL158166.1
14869,AL390236.1,AL390236.1
14871,LINC01163,LINC01163
14872,AL390763.1,AL390763.1
14874,AL355531.1,AL355531.1
14875,AL157832.1,AL157832.1
14876,LINC02666,LINC02666
14878,AL354950.2,AL354950.2
14879,AL354950.1,AL354950.1
14881,AL139123.1,AL139123.1
14883,LINC02646,LINC02646
14888,AL162274.2,AL162274.2
14889,AL162274.1,AL162274.1
14891,AL512622.1,AL512622.1
14896,AL451069.2,AL451069.2
14897,AL451069.3,AL451069.3
14899,AL451069.1,AL451069.1
14900,LINC01165,LINC01165
14912,AL592071.1,AL592071.1
14915,AL360181.2,AL360181.2
14918,PRAP1,PRAP1
14922,MTG1,MTG1
14926,AL161645.1,AL161645.1
14928,AL731769.2,AL731769.2
14931,AC069287.2,AC069287.2
14936,AC136475.3,AC136475.3
14940,AC136475.2,AC136475.2
14941,IFITM1,IFITM1
14942,AC136475.1,AC136475.1
14944,AC136475.4,AC136475.4
14945,AC136475.7,AC136475.7
14946,AC136475.5,AC136475.5
14947,AC136475.9,AC136475.9
14953,AC138230.1,AC138230.1
14955,AC137894.3,AC137894.3
14959,AP006284.1,AP006284.1
14968,AC131934.1,AC131934.1
14970,TMEM80,TMEM80
14973,AP006621.3,AP006621.3
14980,AP006621.1,AP006621.1
14985,AP006623.1,AP006623.1
14989,LINC02688,LINC02688
14995,AC136297.1,AC136297.1
14997,AC091196.1,AC091196.1
15001,KRTAP5-2,KRTAP5-2
15004,AC068580.3,AC068580.3
15005,AC068580.1,AC068580.1
15006,AC068580.5,AC068580.5
15010,AC051649.1,AC051649.1
15018,AC132217.1,AC132217.1
15020,INS,INS
15038,AC131971.1,AC131971.1
15044,AC127526.5,AC127526.5
15045,AC127526.2,AC127526.2
15046,AC127526.4,AC127526.4
15052,AC090587.1,AC090587.1
15054,AC090587.2,AC090587.2
15057,LINC02749,LINC02749
15071,AC104389.5,AC104389.5
15072,HBE1,HBE1
15073,OR51B5,OR51B5
15075,UBQLNL,UBQLNL
15076,OR52H1,OR52H1
15078,TRIM34,TRIM34
15081,OR56B1,OR56B1
15083,OR52N5,OR52N5
15084,OR52N1,OR52N1
15087,AC022762.2,AC022762.2
15092,AC068733.3,AC068733.3
15093,AC068733.1,AC068733.1
15102,AC091564.2,AC091564.2
15106,AC091564.6,AC091564.6
15108,AC091564.4,AC091564.4
15109,AC091564.5,AC091564.5
15114,AC087280.2,AC087280.2
15117,OR2D2,OR2D2
15122,AC027804.1,AC027804.1
15124,AC107884.1,AC107884.1
15127,AC107884.2,AC107884.2
15130,AC104237.2,AC104237.2
15131,AC104237.3,AC104237.3
15132,AC044810.2,AC044810.2
15133,OR5P2,OR5P2
15134,OR5P3,OR5P3
15144,AC091053.1,AC091053.1
15145,AC026894.1,AC026894.1
15152,AC079296.1,AC079296.1
15155,AP006259.1,AP006259.1
15158,AC132192.1,AC132192.1
15159,AC132192.2,AC132192.2
15163,LINC02709,LINC02709
15166,AC011092.2,AC011092.2
15167,AC011092.3,AC011092.3
15168,AC080023.1,AC080023.1
15178,AC116535.1,AC116535.1
15181,AC069360.1,AC069360.1
15182,LINC02752,LINC02752
15183,KC877392.1,KC877392.1
15185,CSNK2A3,CSNK2A3
15186,AC023946.1,AC023946.1
15187,AC104031.1,AC104031.1
15191,AC124276.1,AC124276.1
15192,AC124276.2,AC124276.2
15194,AC079329.1,AC079329.1
15195,AC025300.1,AC025300.1
15198,AC013549.4,AC013549.4
15199,AC013549.1,AC013549.1
15201,RASSF10-DT,RASSF10-DT
15205,AC021269.3,AC021269.3
15207,FAR1-IT1,FAR1-IT1
15209,LINC02683,LINC02683
15219,AC073172.1,AC073172.1
15220,AC087379.2,AC087379.2
15221,AC087379.1,AC087379.1
15222,AC009869.1,AC009869.1
15223,LINC02682,LINC02682
15230,AC124798.2,AC124798.2
15232,AC124798.1,AC124798.1
15241,AC090099.1,AC090099.1
15243,SAA2,SAA2
15248,AC084117.1,AC084117.1
15252,AC027544.2,AC027544.2
15258,AC103974.1,AC103974.1
15262,CSRP3-AS1,CSRP3-AS1
15264,AC009652.1,AC009652.1
15266,NAV2-IT1,NAV2-IT1
15268,AC009549.1,AC009549.1
15271,NAV2-AS1,NAV2-AS1
15275,AC130307.1,AC130307.1
15277,AC107882.1,AC107882.1
15281,AC006299.1,AC006299.1
15282,LINC02718,LINC02718
15292,AC100771.2,AC100771.2
15296,AC090159.1,AC090159.1
15299,AC013714.1,AC013714.1
15300,LINC02742,LINC02742
15301,LINC02755,LINC02755
15302,AC110058.1,AC110058.1
15305,AL358944.1,AL358944.1
15313,AC131571.1,AC131571.1
15315,AL035078.1,AL035078.1
15325,LINC00294,LINC00294
15330,AL049629.1,AL049629.1
15331,C11orf91,C11orf91
15335,LINC02721,LINC02721
15337,AC090469.1,AC090469.1
15346,AL356215.1,AL356215.1
15349,AL133330.1,AL133330.1
15353,AL138812.1,AL138812.1
15355,AC090692.2,AC090692.2
15356,AC090692.3,AC090692.3
15358,AL136146.2,AL136146.2
15361,AC009656.1,AC009656.1
15365,LINC02759,LINC02759
15366,AC021723.2,AC021723.2
15369,AC087276.2,AC087276.2
15371,AC087276.1,AC087276.1
15372,AC068205.1,AC068205.1
15373,AC068205.2,AC068205.2
15375,AC087521.2,AC087521.2
15376,AC087521.4,AC087521.4
15379,AC087521.3,AC087521.3
15380,C11orf96,C11orf96
15381,AC087521.1,AC087521.1
15383,AC134775.1,AC134775.1
15386,AC010768.1,AC010768.1
15387,AC010768.2,AC010768.2
15392,LINC02696,LINC02696
15393,LINC02687,LINC02687
15394,AC103855.2,AC103855.2
15396,AC044839.1,AC044839.1
15397,LINC02690,LINC02690
15398,LINC02716,LINC02716
15402,AC068385.1,AC068385.1
15407,AC024475.1,AC024475.1
15408,AC024475.3,AC024475.3
15409,LINC02710,LINC02710
15410,AC116021.1,AC116021.1
15417,AC127035.1,AC127035.1
15427,AC090589.2,AC090589.2
15429,AC090589.3,AC090589.3
15432,AC018410.2,AC018410.2
15436,AC018410.1,AC018410.1
15439,AC090559.1,AC090559.1
15444,AC090559.2,AC090559.2
15446,PTPMT1,PTPMT1
15448,KF459542.1,KF459542.1
15457,LINC02750,LINC02750
15464,AP000781.1,AP000781.1
15475,AP000662.1,AP000662.1
15481,SELENOH,SELENOH
15487,AP003557.2,AP003557.2
15488,AP003557.1,AP003557.1
15492,AP001350.1,AP001350.1
15493,CNTF,CNTF
15497,AP001636.3,AP001636.3
15504,AP002358.1,AP002358.1
15508,AP003778.1,AP003778.1
15509,LINC02739,LINC02739
15510,AP000442.1,AP000442.1
15513,AP000640.2,AP000640.2
15515,AP000640.1,AP000640.1
15518,OOSP3,OOSP3
15522,LINC02705,LINC02705
15527,MS4A7,MS4A7
15535,AP000777.2,AP000777.2
15536,AP000777.3,AP000777.3
15541,AP003721.4,AP003721.4
15542,AP003721.3,AP003721.3
15544,AP003721.1,AP003721.1
15548,AP003721.2,AP003721.2
15561,SDHAF2,SDHAF2
15563,AP003108.1,AP003108.1
15566,AP003559.1,AP003559.1
15567,AP002754.1,AP002754.1
15569,MYRF-AS1,MYRF-AS1
15579,LINC02733,LINC02733
15580,AP002793.1,AP002793.1
15585,AP003306.2,AP003306.2
15587,AP003064.1,AP003064.1
15589,AP003064.2,AP003064.2
15591,AP001363.1,AP001363.1
15592,AP001363.2,AP001363.2
15594,TUT1,TUT1
15601,C11orf98,C11orf98
15607,BSCL2,BSCL2
15609,HNRNPUL2,HNRNPUL2
15613,AP001160.2,AP001160.2
15616,AP001160.3,AP001160.3
15620,AP001160.4,AP001160.4
15621,AP001160.1,AP001160.1
15627,AP000438.1,AP000438.1
15631,PLAAT5,PLAAT5
15633,PLAAT4,PLAAT4
15634,PLAAT2,PLAAT2
15635,PLAAT3,PLAAT3
15646,AP000721.2,AP000721.2
15647,AP006333.2,AP006333.2
15649,AP006333.1,AP006333.1
15654,AP001453.1,AP001453.1
15658,AP001453.3,AP001453.3
15660,PPP1R14B-AS1,PPP1R14B-AS1
15661,AP001453.2,AP001453.2
15666,CATSPERZ,CATSPERZ
15670,AP003774.2,AP003774.2
15673,LINC02723,LINC02723
15674,LINC02724,LINC02724
15680,AP001462.1,AP001462.1
15692,SNX15,SNX15
15699,AP003068.1,AP003068.1
15705,AP003068.2,AP003068.2
15707,AP000944.6,AP000944.6
15709,AP000944.7,AP000944.7
15713,AP000944.1,AP000944.1
15717,LINC02736,LINC02736
15718,AP000769.6,AP000769.6
15720,AP000769.2,AP000769.2
15724,ZNRD2,ZNRD2
15725,FAM89B,FAM89B
15732,RELA-DT,RELA-DT
15738,AP001266.1,AP001266.1
15757,AP006287.2,AP006287.2
15759,AP000759.1,AP000759.1
15761,AP001107.4,AP001107.4
15762,AP001107.7,AP001107.7
15764,AP001107.1,AP001107.1
15765,AP001107.2,AP001107.2
15773,AP001107.9,AP001107.9
15775,AP001107.5,AP001107.5
15779,AP002748.4,AP002748.4
15781,BBS1,BBS1
15782,AP002748.6,AP002748.6
15800,AP001885.3,AP001885.3
15804,AP001885.2,AP001885.2
15807,AP003419.2,AP003419.2
15809,AP003419.3,AP003419.3
15814,RPS6KB2-AS1,RPS6KB2-AS1
15815,PTPRCAP,PTPRCAP
15829,LINC02754,LINC02754
15832,AC004923.4,AC004923.4
15835,AP002807.1,AP002807.1
15837,AP002992.1,AP002992.1
15840,AP002813.1,AP002813.1
15843,AP003096.1,AP003096.1
15847,LINC02701,LINC02701
15850,AP003071.4,AP003071.4
15854,AP003071.1,AP003071.1
15855,SMIM38,SMIM38
15857,AP005233.2,AP005233.2
15858,AP000439.2,AP000439.2
15859,AP000439.1,AP000439.1
15860,LINC02747,LINC02747
15865,AP007216.2,AP007216.2
15866,AP003555.1,AP003555.1
15867,LINC02753,LINC02753
15871,AP000879.1,AP000879.1
15873,AP002336.2,AP002336.2
15874,AP002336.1,AP002336.1
15875,AP000487.2,AP000487.2
15876,AP000487.1,AP000487.1
15881,AP003783.1,AP003783.1
15883,AP002387.2,AP002387.2
15888,AP000867.5,AP000867.5
15891,ALG1L9P,ALG1L9P
15892,AP003498.1,AP003498.1
15893,AP003498.2,AP003498.2
15896,AP002495.1,AP002495.1
15900,AP002490.1,AP002490.1
15905,AP000812.1,AP000812.1
15910,AP000593.4,AP000593.4
15912,AP000593.3,AP000593.3
15915,AP005019.1,AP005019.1
15916,AP003065.1,AP003065.1
15918,ARAP1-AS1,ARAP1-AS1
15919,AP003065.2,AP003065.2
15922,AP002381.2,AP002381.2
15925,AP002761.2,AP002761.2
15926,AP002761.1,AP002761.1
15928,AP002761.4,AP002761.4
15930,AP002761.3,AP002761.3
15933,AP000763.4,AP000763.4
15935,AP000763.3,AP000763.3
15938,AP002770.1,AP002770.1
15943,AP003717.1,AP003717.1
15945,AP003717.4,AP003717.4
15952,AP001085.1,AP001085.1
15954,AP001372.3,AP001372.3
15956,AP001372.2,AP001372.2
15961,AP001992.2,AP001992.2
15966,AP001972.3,AP001972.3
15972,AP002815.1,AP002815.1
15974,AP001922.5,AP001922.5
15977,AP003031.1,AP003031.1
15980,AP003168.2,AP003168.2
15982,LINC02761,LINC02761
15985,AP002360.1,AP002360.1
15987,LINC02757,LINC02757
15988,AP001189.5,AP001189.5
15989,AP001189.1,AP001189.1
15991,AP001189.4,AP001189.4
15992,AP003119.1,AP003119.1
15994,AP003119.2,AP003119.2
15995,AP003119.3,AP003119.3
15997,AP002498.1,AP002498.1
16002,AP003680.1,AP003680.1
16006,RSF1-IT2,RSF1-IT2
16007,RSF1-IT1,RSF1-IT1
16009,AP002812.2,AP002812.2
16010,AP002812.5,AP002812.5
16012,AP003032.2,AP003032.2
16014,AP003032.1,AP003032.1
16016,NDUFC2,NDUFC2
16022,AP003086.1,AP003086.1
16023,LINC02728,LINC02728
16025,AP003110.1,AP003110.1
16027,AP002957.1,AP002957.1
16028,AP003464.1,AP003464.1
16033,AP000893.2,AP000893.2
16035,RAB30-DT,RAB30-DT
16036,AP001767.3,AP001767.3
16038,AP000873.4,AP000873.4
16039,AP000873.2,AP000873.2
16040,PCF11-AS1,PCF11-AS1
16042,AP000873.3,AP000873.3
16044,AP000446.1,AP000446.1
16046,AP001825.1,AP001825.1
16058,AP003059.1,AP003059.1
16059,AP003059.2,AP003059.2
16061,AP000654.1,AP000654.1
16062,AP001528.1,AP001528.1
16064,FZD4-DT,FZD4-DT
16066,AP005436.1,AP005436.1
16069,AP003120.1,AP003120.1
16074,AP000648.9,AP000648.9
16079,LINC02746,LINC02746
16084,SCARNA9,SCARNA9
16087,MED17,MED17
16091,AP002784.1,AP002784.1
16094,AP000786.1,AP000786.1
16097,FUT4,FUT4
16099,AP000943.2,AP000943.2
16100,LINC02700,LINC02700
16106,AP000787.1,AP000787.1
16108,AP000820.1,AP000820.1
16113,AP000779.1,AP000779.1
16117,AP001351.1,AP001351.1
16125,AP001527.1,AP001527.1
16126,AP001527.2,AP001527.2
16131,AP001830.1,AP001830.1
16133,AP000851.1,AP000851.1
16134,AP000851.2,AP000851.2
16149,CARD17,CARD17
16151,AP000813.1,AP000813.1
16155,AP001001.1,AP001001.1
16157,AP000766.1,AP000766.1
16164,AP003307.1,AP003307.1
16166,AP002433.1,AP002433.1
16168,AP002433.2,AP002433.2
16172,POGLUT3,POGLUT3
16177,AP001981.2,AP001981.2
16179,LINC02732,LINC02732
16182,AP003973.2,AP003973.2
16187,AP002448.1,AP002448.1
16189,AP002008.3,AP002008.3
16191,AP002008.4,AP002008.4
16192,AP002008.1,AP002008.1
16197,AP001781.1,AP001781.1
16199,ALG9-IT1,ALG9-IT1
16204,C11orf52,C11orf52
16206,AP000907.2,AP000907.2
16213,TEX12,TEX12
16216,AP002884.3,AP002884.3
16217,LINC02762,LINC02762
16218,LINC02763,LINC02763
16219,AP003100.2,AP003100.2
16220,AC016902.1,AC016902.1
16221,AP000802.1,AP000802.1
16223,AP000880.1,AP000880.1
16225,AP002840.2,AP002840.2
16230,AP003170.4,AP003170.4
16235,AP002755.1,AP002755.1
16237,AP002518.1,AP002518.1
16244,AP000465.1,AP000465.1
16245,AP000462.3,AP000462.3
16246,AP000462.1,AP000462.1
16247,AP000462.2,AP000462.2
16248,AP003174.1,AP003174.1
16249,AP000997.3,AP000997.3
16251,LINC02703,LINC02703
16254,AP006216.1,AP006216.1
16262,AP000936.1,AP000936.1
16270,AP000892.3,AP000892.3
16272,AP000892.1,AP000892.1
16275,AP000757.2,AP000757.2
16276,AP000757.1,AP000757.1
16277,FXYD6,FXYD6
16291,AP001267.1,AP001267.1
16293,AP001267.4,AP001267.4
16294,AP001267.2,AP001267.2
16296,AP001267.3,AP001267.3
16302,AP000941.1,AP000941.1
16304,AP002954.1,AP002954.1
16305,AP002954.2,AP002954.2
16307,AP004609.3,AP004609.3
16309,AP004609.1,AP004609.1
16313,CENATAC-DT,CCDC84-DT
16315,AP003392.1,AP003392.1
16319,AP003392.3,AP003392.3
16321,AP003392.4,AP003392.4
16322,AP003392.5,AP003392.5
16336,AP003396.1,AP003396.1
16340,AP003396.3,AP003396.3
16342,AP003396.5,AP003396.5
16343,AP003393.1,AP003393.1
16345,AP003390.1,AP003390.1
16346,AP001994.2,AP001994.2
16347,AP001994.3,AP001994.3
16348,AP001360.1,AP001360.1
16350,AP000679.1,AP000679.1
16353,TLCD5,TLCD5
16356,AP004147.1,AP004147.1
16360,AP000977.1,AP000977.1
16362,AP001977.1,AP001977.1
16364,BLID,BLID
16366,AP002762.3,AP002762.3
16367,AP002762.2,AP002762.2
16371,AP000926.2,AP000926.2
16375,AP002765.1,AP002765.1
16386,AP000866.5,AP000866.5
16389,AP000866.2,AP000866.2
16391,AP000866.6,AP000866.6
16392,AP000866.1,AP000866.1
16396,HEPN1,HEPN1
16397,CCDC15-DT,CCDC15-DT
16403,AP000708.1,AP000708.1
16409,AP000842.3,AP000842.3
16412,AP000842.2,AP000842.2
16414,AP000842.1,AP000842.1
16417,AP000821.2,AP000821.2
16419,AP001893.1,AP001893.1
16424,AP001318.2,AP001318.2
16429,AP001783.1,AP001783.1
16430,AP002833.1,AP002833.1
16431,AP002833.2,AP002833.2
16432,LINC02712,LINC02712
16433,LINC02725,LINC02725
16437,AP001122.1,AP001122.1
16446,LINC01395,LINC01395
16447,AP003327.2,AP003327.2
16455,ZBTB44-DT,ZBTB44-DT
16460,AP003486.1,AP003486.1
16462,AP002856.3,AP002856.3
16463,AP002856.2,AP002856.2
16465,AP003025.1,AP003025.1
16466,AP003025.2,AP003025.2
16467,AP000844.2,AP000844.2
16470,LINC02730,LINC02730
16471,LINC02731,LINC02731
16472,AP000911.1,AP000911.1
16481,AP004608.1,AP004608.1
16482,LINC02714,LINC02714
16483,LINC02697,LINC02697
16485,AC026369.3,AC026369.3
16486,AC026369.1,AC026369.1
16487,AC026369.2,AC026369.2
16488,AC007406.3,AC007406.3
16490,AC007406.4,AC007406.4
16492,AC007406.2,AC007406.2
16493,AC007406.5,AC007406.5
16498,AC021054.1,AC021054.1
16501,AC004765.1,AC004765.1
16503,AC004803.1,AC004803.1
16509,AC005343.1,AC005343.1
16511,AC005343.4,AC005343.4
16512,AC005342.2,AC005342.2
16516,AC005342.1,AC005342.1
16517,AC005293.1,AC005293.1
16518,AC005414.1,AC005414.1
16521,LINC02371,LINC02371
16523,ITFG2-AS1,ITFG2-AS1
16524,AC005841.1,AC005841.1
16530,AC005911.1,AC005911.1
16532,AC125807.2,AC125807.2
16534,AC005912.2,AC005912.2
16535,AC005865.2,AC005865.2
16536,LINC02827,LINC02827
16539,AC006207.1,AC006207.1
16541,AC005842.1,AC005842.1
16542,AC084375.1,AC084375.1
16543,CCND2-AS1,CCND2-AS1
16553,AC005833.2,AC005833.2
16554,AC006063.3,AC006063.3
16555,AC006063.4,AC006063.4
16556,AC005906.2,AC005906.2
16557,KCNA1,KCNA1
16559,AC006206.2,AC006206.2
16560,AC006206.1,AC006206.1
16569,AC005840.2,AC005840.2
16574,AC005840.4,AC005840.4
16577,AC006064.5,AC006064.5
16578,AC006064.3,AC006064.3
16580,AC006064.4,AC006064.4
16582,AC006064.1,AC006064.1
16585,AC006064.2,AC006064.2
16589,AC125494.1,AC125494.1
16593,AC125494.2,AC125494.2
16606,U47924.3,U47924.3
16610,U47924.2,U47924.2
16613,U47924.1,U47924.1
16622,AC018653.3,AC018653.3
16624,AC018653.4,AC018653.4
16625,AC018653.1,AC018653.1
16636,AC006517.2,AC006517.2
16638,AC006511.6,AC006511.6
16642,CLEC4A,CLEC4A
16645,AC092111.2,AC092111.2
16646,AC092111.1,AC092111.1
16649,AC092745.5,AC092745.5
16650,AC092745.4,AC092745.4
16652,AC092745.1,AC092745.1
16656,AC092746.1,AC092746.1
16660,AC092490.1,AC092490.1
16662,AC006581.2,AC006581.2
16671,AC010175.1,AC010175.1
16672,AC009533.3,AC009533.3
16674,AC009533.4,AC009533.4
16675,AC092821.3,AC092821.3
16677,AC010186.1,AC010186.1
16678,AC010186.3,AC010186.3
16685,AC091814.1,AC091814.1
16699,AC115676.1,AC115676.1
16701,LINC02617,LINC02617
16703,AC022075.1,AC022075.1
16704,KLRK1,KLRK1
16705,KLRC4,KLRC4
16706,KLRC3,KLRC3
16715,TAS2R10,TAS2R10
16716,PRR4,PRR4
16717,TAS2R13,TAS2R13
16719,TAS2R14,TAS2R14
16720,TAS2R50,TAS2R50
16721,TAS2R20,TAS2R20
16722,TAS2R19,TAS2R19
16723,TAS2R31,TAS2R31
16724,TAS2R46,TAS2R46
16725,TAS2R43,TAS2R43
16726,TAS2R30,TAS2R30
16727,AC134349.1,AC134349.1
16730,AC244131.2,AC244131.2
16733,AC078950.1,AC078950.1
16742,AC007619.1,AC007619.1
16744,AC008115.4,AC008115.4
16746,AC008115.2,AC008115.2
16748,AC008115.3,AC008115.3
16749,AC008115.1,AC008115.1
16751,DDX47,DDX47
16756,AC023790.2,AC023790.2
16762,AC092112.1,AC092112.1
16765,AC008114.1,AC008114.1
16768,AC010168.1,AC010168.1
16769,AC010168.2,AC010168.2
16775,AC007655.2,AC007655.2
16777,AC007655.1,AC007655.1
16786,AC073651.1,AC073651.1
16790,AC007528.1,AC007528.1
16792,AC007552.2,AC007552.2
16793,AC007529.2,AC007529.2
16794,AC007529.1,AC007529.1
16795,AC092110.1,AC092110.1
16800,AC092828.1,AC092828.1
16802,AC137561.1,AC137561.1
16803,AC024901.1,AC024901.1
16815,AC010197.1,AC010197.1
16816,AC010185.1,AC010185.1
16819,AC008250.2,AC008250.2
16822,AC007671.1,AC007671.1
16823,AC087318.1,AC087318.1
16824,AC053513.1,AC053513.1
16826,AC053513.2,AC053513.2
16827,AC087241.2,AC087241.2
16829,AC084816.1,AC084816.1
16830,AC084819.1,AC084819.1
16834,AC023796.1,AC023796.1
16836,AC023796.2,AC023796.2
16837,AC026310.2,AC026310.2
16840,AC023510.2,AC023510.2
16844,AC092794.1,AC092794.1
16845,AC092794.2,AC092794.2
16846,AC087239.1,AC087239.1
16852,AC022509.3,AC022509.3
16853,AC022509.5,AC022509.5
16854,AC022509.2,AC022509.2
16855,AC022509.1,AC022509.1
16856,AC022509.4,AC022509.4
16857,AC055720.1,AC055720.1
16859,AC023051.1,AC023051.1
16863,AC024896.1,AC024896.1
16865,AC092747.4,AC092747.4
16867,AC092747.1,AC092747.1
16872,AC009509.1,AC009509.1
16874,AC009509.4,AC009509.4
16875,AC009509.2,AC009509.2
16878,AC009511.2,AC009511.2
16881,AC008011.2,AC008011.2
16883,AC022364.1,AC022364.1
16884,AC022079.2,AC022079.2
16885,AC022079.1,AC022079.1
16886,AC012150.1,AC012150.1
16888,AC012150.2,AC012150.2
16889,AC009318.4,AC009318.4
16890,AC009318.1,AC009318.1
16891,AC009318.3,AC009318.3
16892,AC009318.2,AC009318.2
16898,AC012673.1,AC012673.1
16900,AC010198.1,AC010198.1
16901,AC010198.2,AC010198.2
16905,AC024940.6,AC024940.6
