,gene_symbol,alias
333,ZC3H3,ZC3H3
334,CAPN1,CAPN1
335,ACP3,ACPP
336,MDH1,MDH1
337,SLC30A9,SLC30A9
338,MTMR11,MTMR11
339,COX15,COX15
340,CCDC88C,CCDC88C
341,YAF2,YAF2
342,ZMYND11,ZMYND11
343,WAS,WAS
344,DPEP1,DPEP1
345,BID,BID
346,NPC1L1,NPC1L1
347,XYLT2,XYLT2
348,RGPD5,RGPD5
349,STMN4,STMN4
350,NUDCD3,NUDCD3
351,ISL1,ISL1
352,CHDH,CHDH
353,IL20RA,IL20RA
354,CLCA1,CLCA1
355,CLCA4,CLCA4
356,GLT8D1,GLT8D1
357,ATP2C1,ATP2C1
358,IGF1,IGF1
359,SLC38A5,SLC38A5
360,RALBP1,RALBP1
361,RUFY3,RUFY3
362,CNTN1,CNTN1
363,SLC11A1,SLC11A1
364,WWTR1,WWTR1
365,AGPS,AGPS
366,STEEP1,CXorf56
367,ATP1A2,ATP1A2
368,TTC27,TTC27
369,ZNF582,ZNF582
370,VSIG2,VSIG2
371,PHLDB1,PHLDB1
372,MARCO,MARCO
373,CYP24A1,CYP24A1
374,PRDM11,PRDM11
375,SYT13,SYT13
376,SNAI2,SNAI2
377,CD74,CD74
378,HGF,HGF
379,ZRANB1,ZRANB1
380,NCDN,NCDN
381,ADGRA2,ADGRA2
382,ZFP64,ZFP64
383,MNAT1,MNAT1
384,SAMD4A,SAMD4A
385,RUNX3,RUNX3
386,MRE11,MRE11
387,PLEKHB1,PLEKHB1
388,SERPINB1,SERPINB1
389,CYP3A43,CYP3A43
390,SLC7A9,SLC7A9
391,SPAST,SPAST
392,NRXN3,NRXN3
393,OSBPL5,OSBPL5
394,AQR,AQR
395,CPS1,CPS1
396,C8B,C8B
397,FHL1,FHL1
398,RTF2,RTF2
399,GABRA1,GABRA1
400,NLRP2,NLRP2
401,SLC45A4,SLC45A4
402,RNF10,RNF10
403,ZNF839,ZNF839
404,ZDHHC6,ZDHHC6
405,GRAMD1B,GRAMD1B
406,RNH1,RNH1
407,NDUFS1,NDUFS1
408,RB1CC1,RB1CC1
409,ERP44,ERP44
410,ALAS1,ALAS1
411,BIRC3,BIRC3
412,AKAP11,AKAP11
413,GLRX2,GLRX2
414,SNAPC1,SNAPC1
415,DERA,DERA
416,STRAP,STRAP
417,ABCC2,ABCC2
418,DEF6,DEF6
419,PLEKHO1,PLEKHO1
420,GCLM,GCLM
421,UBR2,UBR2
422,EHD2,EHD2
423,CCDC28A,CCDC28A
424,RRAGD,RRAGD
425,HSF2,HSF2
426,PHF20,PHF20
427,HSD17B6,HSD17B6
428,NR1H3,NR1H3
429,TYMP,TYMP
430,NCAPH2,NCAPH2
431,TOMM34,TOMM34
432,SEC63,SEC63
433,KPNA6,KPNA6
434,VIM,VIM
435,RTEL1-TNFRSF6B,RTEL1-TNFRSF6B
436,FAS,FAS
437,CD44,CD44
438,KCNG1,KCNG1
439,AGPAT4,AGPAT4
440,SLAMF7,SLAMF7
441,BTN3A1,BTN3A1
442,MIPEP,MIPEP
443,PRKCH,PRKCH
444,IFNGR1,IFNGR1
445,B4GALT7,B4GALT7
446,SH2D2A,SH2D2A
447,VRK2,VRK2
448,TNFRSF1B,TNFRSF1B
449,VEZT,VEZT
450,POU2F2,POU2F2
451,BRD9,BRD9
452,SNX1,SNX1
453,TBPL1,TBPL1
454,ARNTL2,ARNTL2
455,BCLAF1,BCLAF1
456,SLC39A9,SLC39A9
457,ANK1,ANK1
458,IBSP,IBSP
459,TFB1M,TFB1M
460,RABEP1,RABEP1
461,HMGB3,HMGB3
462,NUP160,NUP160
463,BAK1,BAK1
464,MUSK,MUSK
465,IKZF2,IKZF2
466,GRN,GRN
467,FAM13B,FAM13B
468,ARHGAP31,ARHGAP31
469,CENPQ,CENPQ
470,SARS2,SARS
471,RANBP3,RANBP3
472,ARID4A,ARID4A
473,EIPR1,EIPR1
474,PNPLA6,PNPLA6
475,IFT88,IFT88
476,ALG1,ALG1
477,ZCCHC8,ZCCHC8
478,ABCF2,ABCF2
479,CHPF2,CHPF2
480,LRRC7,LRRC7
481,FUT8,FUT8
482,UBA6,UBA6
483,GAB2,GAB2
484,ATP6V0A1,ATP6V0A1
485,PIAS1,PIAS1
486,SLC4A7,SLC4A7
487,APBA2,APBA2
488,MAP2K3,MAP2K3
489,EFCAB1,EFCAB1
490,TMSB10,TMSB10
491,ASTE1,ASTE1
492,RNF19A,RNF19A
493,PEX3,PEX3
494,GABARAPL2,GABARAPL2
495,MYOC,MYOC
496,SH3YL1,SH3YL1
497,FAM136A,FAM136A
498,VCL,VCL
499,DEPDC1B,DEPDC1B
500,DAPK2,DAPK2
501,NSMAF,NSMAF
502,ADSS2,ADSS
503,STAP1,STAP1
504,TIMP2,TIMP2
505,RFC1,RFC1
506,TBC1D23,TBC1D23
507,CUL3,CUL3
508,MYOM2,MYOM2
509,CYP46A1,CYP46A1
510,ENSG00000036549,ENSG00000036549
511,SLC18A1,SLC18A1
512,USP2,USP2
513,CASR,CASR
514,TUBG2,TUBG2
515,RPL26L1,RPL26L1
516,FLT4,FLT4
517,NSUN2,NSUN2
518,FBXO42,FBXO42
519,MFAP3,MFAP3
520,MRI1,MRI1
521,METTL1,METTL1
522,AGA,AGA
523,BOD1L1,BOD1L1
524,MAT2B,MAT2B
525,TLL1,TLL1
526,EDC4,EDC4
527,TRIO,TRIO
528,VCAN,VCAN
529,CLEC16A,CLEC16A
530,MSR1,MSR1
531,CDH1,CDH1
532,MTREX,MTREX
533,DNAH5,DNAH5
534,ZFYVE16,ZFYVE16
535,RIPOR1,RIPOR1
536,C6,C6
537,RAI14,RAI14
538,SOX30,SOX30
539,PNKP,PNKP
540,BEST2,BEST2
541,PHLPP2,PHLPP2
542,SPDL1,SPDL1
543,STAU2,STAU2
544,SLC66A1,PQLC2
545,CTNS,CTNS
546,RTN4R,RTN4R
547,PHF23,PHF23
548,CDH10,CDH10
549,INPP4A,INPP4A
550,RAB27B,RAB27B
551,PSMA4,PSMA4
552,MYO16,MYO16
553,LSG1,LSG1
554,PARP3,PARP3
555,TNC,TNC
556,THAP3,THAP3
557,RIPOR3,RIPOR3
558,TDP1,TDP1
559,AIFM2,AIFM2
560,C2orf83,C2orf83
561,SPATA7,SPATA7
562,RETSAT,RETSAT
563,CAPG,CAPG
564,AP2S1,AP2S1
565,USH2A,USH2A
566,ZPBP,ZPBP
567,TG,TG
568,ADAM28,ADAM28
569,BARX2,BARX2
570,DCUN1D1,DCUN1D1
571,JADE2,JADE2
572,LCP2,LCP2
573,TRIT1,TRIT1
574,ADRB1,ADRB1
575,CUL7,CUL7
576,CTNNA1,CTNNA1
577,PHKA2,PHKA2
578,CNTLN,CNTLN
579,EPHA3,EPHA3
580,HSPA5,HSPA5
581,DSG2,DSG2
