Mixture,T cell CD8,Tumor cells,B cell,Plasma cell,T cell regulatory,Mast cell,T cell CD4,Macrophage,Alveolar cell type 2,NK cell,Monocyte,Neutrophils,cDC2,Macrophage alveolar,transitional club/AT2,Alveolar cell type 1,pDC,Ciliated,Endothelial cell,cDC1,Club,DC mature,Stromal,P-value,Correlation,RMSE,Absolute score (sig.score)
LUAD_TCGA-05-4427_T,0,3.89541561862226,1.10350487528227,2.27921184374585,2.85039281642758,2.26918493547189,1.72479386226515,3.09428712166947,0.574215081691471,3.43231743882409,0.560546585242701,0.041967031774176,5.96104492104563,6.14459892865805,12.3012915603097,0.838170362705201,2.66799365250621,0.252188445830109,3.09640135866297,0,0,0.92845372083628,5.05780232674666,0,0.732183194138025,0.867267880326205,59.0737824883178
LUAD_TCGA-05-4430_T,0,5.46088616707941,2.71072510358156,1.26305798252324,2.14968865543731,0,3.56074576060258,9.14660186603895,3.13724650484077,3.0202889693744,2.17035631936478,0.506164676159732,3.2489087959528,0.254434519382842,5.62875697697702,2.76672255747367,2.37084547898268,1.59533368995398,4.02640549419183,2.09493795653639,3.12360352365556,1.18792870952453,9.10607904470241,0,0.746240242899883,0.862394095306773,68.5297187523364
LUAD_TCGA-05-4432_T,0,2.34242757202419,1.88752929283823,8.6701143715684,3.5160586553603,1.39305687318979,0,2.66708670671477,0.742704021151457,2.95340557889285,0,0.905195252721054,3.13902741459583,5.05096933780489,17.9102941108872,0.444179310042648,2.27539398322373,1.49003785013543,2.68873788483114,2.12602918389068,0,0.682971860057936,4.41276459988256,0,0.789123858817009,0.679171689287286,65.2979838598131
LUAD_TCGA-05-4433_T,0.0383345587380707,9.44466778079392,3.50862628869827,0.130711104485625,0.969963907752189,1.65110243451243,5.90280201903951,5.75028790206826,4.08556162083586,3.85339291352855,0.508203306964792,0.0951156077909646,4.99819481167094,9.53321050799328,1.61473621359631,4.45108785792347,0.908481507651481,4.28881797310323,5.50812639916525,1.94533542425442,0.459067214313845,2.99923413774783,0.694264290081772,0,0.318272215046682,0.959470438214299,73.3393257827103
LUAD_TCGA-05-4434_T,1.46888157875752,7.17955357592264,1.6626511811429,1.40910049632868,2.67778567426696,1.65851644756141,1.27587410960074,10.2653375692069,0.100576937669333,2.84016541953439,3.84052099699308,0.232480749689169,1.02825726819642,1.66811806401007,4.26305130903423,1.70371383113276,2.09460495394251,2.39993933181242,3.12023055072091,2.059643691511,0.880624148512568,2.40269006425497,4.4820220875816,0,0.810066596422893,0.893270968484707,60.7143400373832
LUAD_TCGA-05-5420_T,2.90257894652352,2.12087713650529,2.62487866826369,17.7404824391689,3.35810650627061,0.672002876437796,1.09496101721133,7.11688851416196,0.798367449623317,1.58518547127236,3.37910690510333,0,7.14407942468225,5.39828125413007,1.7327680851011,0.360546051835578,0.310748940373358,1.36350122246297,1.74211259681562,1.59206262702198,0.226853763324068,0.903871533364784,1.62592288576673,0,0.902339123255161,0.43479857312018,65.7941843154206
LUAD_TCGA-05-5423_T,0.346554036090084,0.0511505031353502,3.26758771530414,0.205792053841184,2.7766269180292,2.74317980653947,3.59315428317582,8.09403893335457,2.34678523898214,1.82839916602414,2.64805030607532,0.229032712423541,5.18300998966126,3.1463032619012,24.2200230849467,1.24387593124122,1.59811092659666,1.37636145539199,1.47583578900135,1.87538878441791,1.00357726456074,0.462173045578423,2.34495667690519,0,0.737983974096344,0.844507173017975,72.0599678831776
LUAD_TCGA-05-5425_T,2.47531943164771,4.57402250456248,1.51698741917251,3.11377970391667,5.15290660441328,1.47830428182057,0.0228281418291322,8.3858358531407,1.7015001634276,1.75788856377976,0.48369661447581,1.0071016325375,2.48883545210941,5.50267836142107,6.95101327968443,1.36045641599968,2.72543020846883,2.77146741871299,2.94243803251928,1.08641455387126,0.0644562119974237,2.09373149026805,3.00516637517712,0,0.790538878144785,0.83431658148844,62.6622587149533
LUAD_TCGA-05-5428_T,0,7.84722350135933,2.28530313560084,0.054448811756271,2.12965785032643,1.70985821162673,1.53347054098994,10.2827727662271,0.177959626185062,1.1543267960231,3.10174244383941,0.779405589629921,0,0,6.47541518994255,1.02316461932201,1.02997862603807,1.16274980163763,1.2623865683281,1.89498040961274,0.140973748753726,0,1.90735780252071,0,0.594739574651317,0.92632062503573,45.9531760397196
LUAD_TCGA-05-5429_T,0,15.8306609471832,0,1.24423999678763,1.47575214897557,2.4360847893466,4.74640226065831,1.61770805549545,0,1.94324275802213,0,0.495676994750884,4.800668554642,0.383025835668072,0.505139541384768,3.66242422396686,0.926001128366043,5.57330325998767,2.91485699022762,4.68984598314275,0.980951871995894,0.657707043818567,4.09239511791643,0,0.583006335421006,0.924210671659359,58.9760875023365
LUAD_TCGA-05-5715_T,0,7.54968537693862,2.85847106597411,0.647848375650114,2.1479674770573,2.67968569394577,3.19891928034938,10.1392787724963,1.16370151493065,2.62314100702477,0,0.571286779670064,0.505405363480682,4.72744493666688,15.1660397875011,1.17381490046828,2.70620840487811,3.10082381934352,2.30706566593913,4.66609309134219,0.00981638925773346,0.461687763807989,5.67308364309042,0,0.430085620907135,0.943622980133186,74.0774691098131
LUAD_TCGA-35-3615_T,0,0.123437582274882,2.75775427343918,0.592649854653865,2.54605484505499,0.539522827900457,0.854167012002464,2.68500803633123,5.93745341567554,1.63024587832194,0,0.21847463788664,2.58755152067002,1.34945449454298,28.3180153702597,0.724283345707176,1.50546167884839,0.94902132294876,1.44863435501571,1.295569614318,0.292569479969692,0.257357199208543,1.10998569889507,0,0.866053969395399,0.656408497836163,57.7226724439252
LUAD_TCGA-35-4122_T,2.45239395202511,4.47934014027533,2.74242795331306,5.45984332319896,2.68110938705226,2.62189185742666,0,11.5811815859542,0.633964177946327,1.75816865129319,0.899067280890737,0.413611114279368,5.36697539916273,0.414086915885964,2.86707889022651,0.681711137213256,0.917343701196101,1.43581866089897,1.77865598186751,0.852692328379405,0.0604349161055057,0.870151930874029,3.41490519117032,0,0.868614052858787,0.701674835271718,54.3828544766355
LUAD_TCGA-35-4123_T,5.31640294932478,6.21101260006802,2.23050977991698,0.766535540586476,4.11709723569506,2.42605003867527,0,8.27772959445383,0.0521867273436206,2.07028163672423,0.289984726982917,0.657957551321206,6.48792251422523,1.04653467259714,0.65714805036418,1.15423538242237,0.615288872118716,0.189609808370105,2.49084882841164,0,0,0.748984441202225,3.6138239954577,0,0.706049699387891,0.927713843281479,49.4201449462617
LUAD_TCGA-35-5375_T,2.55396559022351,11.0029931116528,1.90730612386813,3.47240239260683,4.12739362274855,1.98468405442401,0,3.40321753574772,0.0189081587198199,1.27606551254881,5.42531082772788,0.30772179107626,0.131296338309876,3.59552599795627,0.492080888082568,0,1.0457024569692,5.96066598397686,2.21127822311684,2.03702818935447,0.434816960800214,0.959425659011629,4.22738822593757,0,0.319278960070494,0.950551657309345,56.5751776448598
LUAD_TCGA-38-4625_N,0,0.147021559142231,2.52791582384238,0.0480863111084708,1.41339187609444,1.29730360197237,3.4363477076746,0,22.4029901408083,2.66814915963007,3.06002481627037,0.118078858852812,4.64009105588729,18.489965719543,0,3.44044695658305,1.11665560568063,1.76174093965738,4.26956877794836,1.03923723622915,4.82376024422738,0.108523389740983,1.79592190602266,0,0.89132192105443,0.482032976197833,78.6052216869159
