Run,cell_type
SRR10786378,Monocyte non-conventional
SRR10784519,other C17
SRR10788944,Fibroblast adventitial
SRR10789067,Club
SRR10777825,T cell CD8
SRR10788815,T cell CD8
SRR10787442,other C21
SRR10791530,Fibroblast adventitial
SRR10786235,Macrophage
SRR10781472,Macrophage
SRR10780222,Mast cell
SRR10788408,T cell dividing
SRR10778897,B cell
SRR10787510,Plasma cell
SRR10777480,Macrophage
SRR10779503,T cell CD4
SRR10783002,Fibroblast alveolar
SRR10792102,T cell CD8
SRR10786118,other C19
SRR10785372,T cell CD8
SRR10778150,cDC2
SRR10784829,T cell regulatory
SRR10788697,Plasma cell
SRR10795172,Fibroblast adventitial
SRR10797809,Macrophage
SRR10795417,Epithelial cell other C5
SRR10788422,Monocyte conventional
SRR10783329,Macrophage
SRR10782160,Plasma cell
SRR10797754,Monocyte non-conventional
SRR10793929,T cell CD4
SRR10780455,Endothelial cell
SRR10777723,T cell CD8
SRR10789196,Macrophage
SRR10788674,cDC2
SRR10790067,B cell
SRR10786196,T cell CD4
SRR10793490,Monocyte non-conventional
SRR10792650,Alveolar cell type 2
SRR10796828,Plasma cell
SRR10786932,B cell
SRR10781139,DC mature
SRR10795450,T cell CD8
SRR10797594,NK cell
SRR10787539,Monocyte non-conventional
SRR10779238,Monocyte non-conventional
SRR10796477,B cell
SRR10787456,Fibroblast adventitial
SRR10794090,Smooth muscle cell
SRR10783169,Macrophage
SRR10792589,DC mature
SRR10796254,Macrophage
SRR10786815,T cell CD8
SRR10792503,Alveolar cell type 1
SRR10784971,T cell CD4
SRR10795946,Fibroblast adventitial
SRR10793606,cDC1
SRR10782685,Endothelial cell
SRR10793200,other C17
SRR10790278,Epithelial cell other C4
SRR10780098,Alveolar cell type 2
SRR10778262,T cell CD8
SRR10795626,T cell dividing
SRR10793038,Club
SRR10791131,T cell CD8
SRR10784360,Endothelial cell
SRR10795311,Epithelial cell other C1
SRR10796428,Epithelial cell other C5
SRR10785169,Pericyte
SRR10793274,pDC
SRR10783646,T cell CD4
SRR10782688,Basal
SRR10787642,Endothelial cell
SRR10783409,Macrophage
SRR10798205,Fibroblast alveolar
SRR10792220,Endothelial cell
SRR10789521,Macrophage
SRR10784223,Epithelial cell other C1
SRR10784964,Macrophage
SRR10786956,Plasma cell
SRR10782340,Pericyte
SRR10791223,B cell
SRR10795662,cDC2
SRR10792035,B cell
SRR10778371,other C17
SRR10792607,Alveolar cell type 2
SRR10794416,T cell CD4
SRR10795092,other C21
SRR10797739,T cell CD8
SRR10789184,T cell CD8
SRR10777219,Macrophage
SRR10779506,Mast cell
SRR10790624,Ciliated
SRR10797504,Alveolar cell type 2
SRR10778864,T cell CD8
SRR10789749,Plasma cell
SRR10792430,Mast cell
SRR10781102,Fibroblast adventitial
SRR10797911,B cell
SRR10794651,B cell
SRR10798346,Alveolar cell type 2
SRR10780529,Smooth muscle cell
SRR10788718,Pericyte
SRR10780662,Epithelial cell other C1
SRR10780805,Basal
SRR10780991,Macrophage
SRR10797945,T cell dividing
SRR10796727,T cell CD4
SRR10790499,Epithelial cell other C5
SRR10780609,Epithelial cell other C1
SRR10783428,Basal
SRR10789789,T cell regulatory
SRR10792667,T cell CD8
SRR10789721,Fibroblast adventitial
SRR10778451,Monocyte conventional
SRR10794531,T cell CD8
SRR10796262,Monocyte non-conventional
SRR10781072,Basal
SRR10783245,T cell CD8
SRR10781060,other C19
SRR10790433,Epithelial cell other C5
SRR10782651,Macrophage
SRR10784997,Monocyte conventional
SRR10796323,Ciliated
SRR10788821,Alveolar cell type 2
SRR10794454,Macrophage
SRR10779480,Macrophage
SRR10778481,T cell dividing
SRR10781354,T cell CD4
SRR10789132,Fibroblast adventitial
SRR10787635,Plasma cell
SRR10782098,T cell regulatory
SRR10796680,Macrophage
SRR10784962,pDC
SRR10777712,Epithelial cell other C1
SRR10780834,Ciliated
SRR10782639,Basal
SRR10785088,Macrophage
SRR10795215,other C19
SRR10788455,Alveolar cell type 2
SRR10782016,pDC
SRR10786974,T cell regulatory
SRR10777525,Epithelial cell other C1
SRR10793230,T cell CD8
SRR10781723,Macrophage
SRR10790874,Plasma cell
SRR10783109,T cell CD4
SRR10779792,T cell CD4
SRR10792121,Club
SRR10779223,Plasma cell
SRR10795796,Club
SRR10780113,T cell CD8
SRR10790443,Club
SRR10782218,Mast cell
SRR10795852,Pericyte
SRR10779187,T cell CD4
SRR10798210,Monocyte non-conventional
SRR10786680,Fibroblast alveolar
SRR10781365,Pericyte
SRR10794562,Basal
SRR10790199,Smooth muscle cell
SRR10783828,Alveolar cell type 2
SRR10779728,Macrophage
SRR10781605,Plasma cell
SRR10785512,DC mature
SRR10780112,Epithelial cell other C3
SRR10788244,Smooth muscle cell
SRR10796225,other C19
SRR10796551,Monocyte non-conventional
SRR10783161,cDC2
SRR10788389,Macrophage
SRR10794577,Fibroblast adventitial
SRR10792076,B cell
SRR10777972,Plasma cell
SRR10798495,T cell CD4
SRR10793942,Epithelial cell other C1
SRR10778606,Monocyte non-conventional
SRR10780708,Basal
SRR10791421,Mast cell
SRR10788665,Fibroblast adventitial
SRR10796245,Epithelial cell other C1
SRR10795316,Monocyte non-conventional
SRR10795303,Macrophage
SRR10784089,Alveolar cell type 2
SRR10783954,Macrophage
SRR10798178,other C21
SRR10785797,Macrophage
SRR10798560,Macrophage
SRR10780802,Macrophage
SRR10795376,Pericyte
SRR10787310,T cell CD8
SRR10781359,T cell CD8
SRR10797701,Ciliated
SRR10781084,Macrophage
SRR10787435,Macrophage
SRR10789169,T cell regulatory
SRR10789005,Mast cell
SRR10788356,Fibroblast alveolar
SRR10783219,Macrophage
SRR10791510,Macrophage
SRR10778542,Basal
SRR10785394,other C21
SRR10788676,T cell CD4
SRR10796459,T cell CD8
SRR10778763,Fibroblast adventitial
SRR10787000,Alveolar cell type 2
SRR10796021,Fibroblast adventitial
SRR10783443,Club
SRR10791570,cDC2
SRR10793124,T cell CD8
SRR10792856,B cell
SRR10798014,Monocyte non-conventional
SRR10780515,Pericyte
SRR10786983,Plasma cell
SRR10778414,T cell CD4
SRR10778299,Macrophage
SRR10788374,Fibroblast adventitial
SRR10795043,T cell CD8
SRR10792449,cDC1
SRR10782466,Macrophage
SRR10794520,Alveolar cell type 2
SRR10797201,Macrophage
SRR10789307,Macrophage
SRR10784264,Monocyte conventional
SRR10783536,Smooth muscle cell
SRR10786415,T cell CD8
SRR10797112,T cell CD4
SRR10782130,Epithelial cell other C5
SRR10782384,Macrophage
SRR10793653,Plasma cell
SRR10787070,Macrophage
SRR10794727,Fibroblast adventitial
SRR10788441,Alveolar cell type 2
SRR10794645,Club
SRR10791788,Plasma cell
SRR10790992,Endothelial cell
SRR10789712,cDC2
SRR10792222,T cell CD8
SRR10786402,Fibroblast adventitial
SRR10788634,B cell
SRR10794080,Plasma cell
SRR10797372,Epithelial cell other C1
SRR10789826,cDC2
SRR10797120,T cell regulatory
SRR10792871,Smooth muscle cell
SRR10777893,Endothelial cell
SRR10788249,NK cell
SRR10781918,Endothelial cell
SRR10786064,Epithelial cell other C1
SRR10789226,Macrophage
SRR10785197,T cell CD8
SRR10785227,Alveolar cell type 2
SRR10793247,Plasma cell
SRR10798425,Smooth muscle cell
SRR10778252,T cell CD4
SRR10792780,Fibroblast adventitial
SRR10788833,Macrophage
SRR10785707,Macrophage
SRR10792194,DC mature
SRR10792771,Epithelial cell other C1
SRR10790134,Macrophage
SRR10798516,Epithelial cell other C2
SRR10788809,T cell CD8
SRR10794459,Fibroblast adventitial
SRR10795283,Fibroblast adventitial
SRR10797556,T cell CD4
SRR10788660,Epithelial cell other C2
SRR10796750,T cell regulatory
SRR10777428,Pericyte
SRR10784070,Macrophage
SRR10786821,Monocyte non-conventional
SRR10782265,Epithelial cell other C1
SRR10792059,Monocyte non-conventional
SRR10787008,T cell CD8
SRR10796730,Monocyte non-conventional
SRR10789908,Epithelial cell other C1
SRR10781957,pDC
SRR10796873,T cell CD8
SRR10794401,Fibroblast alveolar
SRR10797351,Endothelial cell
SRR10778873,Plasma cell
SRR10792198,Epithelial cell other C1
SRR10778591,Macrophage
SRR10794992,Fibroblast adventitial
SRR10780144,T cell CD8
SRR10793944,Macrophage
SRR10778224,Mast cell
SRR10791511,Fibroblast adventitial
SRR10778522,T cell CD4
SRR10779014,cDC2
SRR10796850,Smooth muscle cell
SRR10790683,Epithelial cell other C4
SRR10789439,Alveolar cell type 1
SRR10789460,Basal
SRR10797222,T cell CD4
SRR10788471,T cell CD4
SRR10796255,T cell CD4
SRR10789715,Monocyte conventional
SRR10796938,Plasma cell
SRR10790495,B cell
SRR10790438,Epithelial cell other C1
SRR10791008,Epithelial cell other C1
SRR10791571,Endothelial cell
SRR10778548,Monocyte conventional
SRR10796801,other C17
SRR10783481,cDC2
SRR10780295,Mast cell
SRR10780241,Macrophage
SRR10796042,Mast cell
SRR10780885,Fibroblast adventitial
SRR10780509,T cell CD4
SRR10793551,Plasma cell
SRR10777537,T cell CD8
SRR10785279,Monocyte non-conventional
SRR10787084,Epithelial cell other C1
SRR10787034,Fibroblast adventitial
SRR10786079,Plasma cell
SRR10784990,T cell CD4
SRR10795908,Macrophage
SRR10793447,Monocyte non-conventional
SRR10784543,Macrophage
SRR10794626,Pericyte
SRR10793450,T cell CD8
SRR10785064,Fibroblast adventitial
SRR10784618,NK cell
SRR10788171,Macrophage
SRR10797170,Macrophage
SRR10787832,Macrophage
SRR10783298,Smooth muscle cell
SRR10796519,Basal
SRR10781212,DC mature
SRR10783075,Club
SRR10786784,Epithelial cell dividing
SRR10787933,Macrophage
SRR10797520,other C17
SRR10788578,Epithelial cell other C1
SRR10795736,T cell CD4
SRR10798082,Monocyte non-conventional
SRR10786090,T cell CD8
SRR10785152,T cell CD4
SRR10784545,Epithelial cell other C5
SRR10794816,Macrophage
SRR10779877,cDC2
SRR10788050,Macrophage
SRR10778505,Epithelial cell other C1
SRR10789301,T cell CD8
SRR10789134,Plasma cell
SRR10780794,Fibroblast adventitial
SRR10778017,Macrophage
SRR10796442,Fibroblast adventitial
SRR10779756,Macrophage
SRR10777869,Pericyte
SRR10789587,Macrophage
SRR10783985,Macrophage
SRR10793668,Monocyte non-conventional
SRR10780017,T cell regulatory
SRR10790577,Macrophage
SRR10777341,T cell regulatory
SRR10789229,other C21
SRR10789214,Macrophage
SRR10781799,Alveolar cell type 2
SRR10788964,T cell CD8
SRR10780102,T cell CD4
SRR10793900,B cell
SRR10784164,Macrophage
SRR10786945,Fibroblast adventitial
SRR10778183,Epithelial cell other C1
SRR10778517,Smooth muscle cell
SRR10797980,cDC2
SRR10795652,Monocyte conventional
SRR10785079,Mesothelial
SRR10778711,Macrophage
SRR10784703,cDC2
SRR10787659,Monocyte conventional
SRR10788212,Macrophage
SRR10785967,NK cell
SRR10782261,T cell CD4
SRR10791099,Club
SRR10785561,Monocyte conventional
SRR10777694,Monocyte non-conventional
SRR10788412,Fibroblast adventitial
SRR10779934,T cell CD4
SRR10792729,T cell regulatory
SRR10787356,Macrophage
SRR10782967,Epithelial cell other C5
SRR10783513,Epithelial cell other C1
SRR10793609,T cell CD8
SRR10782062,Monocyte non-conventional
SRR10796890,T cell CD4
SRR10793711,Fibroblast adventitial
SRR10786203,Ciliated
SRR10779504,T cell CD4
SRR10796037,Monocyte non-conventional
SRR10790211,T cell CD4
SRR10784299,Fibroblast alveolar
SRR10793570,Endothelial cell
SRR10798308,Macrophage
SRR10780923,other C19
SRR10788210,Mesothelial
SRR10792516,Macrophage
SRR10785350,other C17
SRR10786423,Monocyte conventional
SRR10791528,Fibroblast adventitial
SRR10781480,Smooth muscle cell
SRR10786006,T cell CD8
SRR10797779,Macrophage
SRR10792003,Macrophage
SRR10786482,T cell CD4
SRR10791477,Plasma cell
SRR10787416,Macrophage
SRR10790998,Macrophage
SRR10778449,T cell CD8
SRR10796513,Macrophage
SRR10787525,T cell CD8
SRR10795979,Endothelial cell lymphatic
SRR10777327,T cell CD8
SRR10794371,Epithelial cell other C5
SRR10797208,Macrophage
SRR10796330,Basal
SRR10784124,Macrophage
SRR10793174,Epithelial cell other C1
SRR10788194,Mast cell
SRR10794873,other C17
SRR10795714,T cell CD4
SRR10792606,Macrophage
SRR10792389,Epithelial cell other C5
SRR10795790,T cell CD4
SRR10796318,T cell CD4
SRR10786630,other C21
SRR10782398,Epithelial cell other C1
SRR10781974,Macrophage
SRR10792161,B cell
SRR10795992,Monocyte non-conventional
SRR10785693,Endothelial cell
SRR10782524,Monocyte non-conventional
SRR10786528,T cell CD8
SRR10790185,Plasma cell
SRR10779842,Epithelial cell other C5
SRR10783433,Monocyte non-conventional
SRR10796721,Ciliated
SRR10794777,Basal
SRR10798186,Smooth muscle cell
SRR10777412,Macrophage
SRR10782909,Endothelial cell
SRR10784998,other C17
SRR10785594,Macrophage
SRR10791531,Plasma cell
SRR10789112,Macrophage
SRR10787271,Fibroblast adventitial
SRR10788152,Endothelial cell
SRR10789490,T cell CD4
SRR10796555,Endothelial cell
SRR10786344,Basal
SRR10796085,Macrophage
SRR10780078,pDC
SRR10782284,Endothelial cell
SRR10784444,NK cell
SRR10797860,Macrophage
SRR10780660,Monocyte non-conventional
SRR10786438,Epithelial cell other C1
SRR10784657,T cell CD8
SRR10796162,Monocyte conventional
SRR10794822,Epithelial cell other C4
SRR10790015,pDC
SRR10783509,Epithelial cell other C1
SRR10797672,Macrophage
SRR10787528,Fibroblast adventitial
SRR10794569,T cell CD8
SRR10782753,Epithelial cell other C4
SRR10787547,Macrophage
SRR10777625,cDC2
SRR10779712,Monocyte non-conventional
SRR10791146,T cell CD4
SRR10781041,T cell CD8
SRR10777543,Pericyte
SRR10788743,T cell CD8
SRR10785111,Ciliated
SRR10788428,T cell CD4
SRR10793761,Alveolar cell type 2
SRR10787602,Fibroblast adventitial
SRR10796027,Epithelial cell other C1
SRR10787497,T cell regulatory
SRR10796771,other C29
SRR10784132,NK cell
SRR10789224,Epithelial cell other C1
SRR10798133,Fibroblast alveolar
SRR10788416,T cell CD4
SRR10792419,T cell CD4
SRR10780179,Club
SRR10790753,Macrophage
SRR10790187,Epithelial cell other C1
SRR10796726,Basal
SRR10788670,B cell
