Run,cell_type
SRR10783410,other C21
SRR10779059,Plasma cell
SRR10790606,T cell CD4
SRR10791793,T cell CD4
SRR10778836,Endothelial cell
SRR10779256,T cell CD4
SRR10791660,Fibroblast adventitial
SRR10788057,T cell CD4
SRR10790797,Fibroblast alveolar
SRR10793043,Epithelial cell other C1
SRR10790583,Endothelial cell
SRR10794612,Macrophage
SRR10797426,Club
SRR10794963,Pericyte
SRR10794287,Epithelial cell other C1
SRR10778059,Fibroblast alveolar
SRR10788675,Plasma cell
SRR10781264,Epithelial cell other C5
SRR10781623,Macrophage
SRR10778761,Macrophage
SRR10780136,Macrophage
SRR10777793,T cell regulatory
SRR10789584,Macrophage
SRR10778167,Plasma cell
SRR10782015,Monocyte non-conventional
SRR10792879,Epithelial cell other C5
SRR10789341,Basal
SRR10777730,Plasma cell
SRR10784001,Alveolar cell type 2
SRR10783122,T cell CD8
SRR10779417,DC mature
SRR10790571,Macrophage
SRR10784170,Macrophage
SRR10791346,Plasma cell
SRR10778645,Fibroblast adventitial
SRR10781459,Macrophage
SRR10782274,Plasma cell
SRR10791277,Monocyte non-conventional
SRR10790307,T cell CD8
SRR10795696,T cell dividing
SRR10788716,NK cell
SRR10783845,Mast cell
SRR10777492,T cell CD4
SRR10784943,Macrophage
SRR10792892,Alveolar cell type 1
SRR10790549,Plasma cell
SRR10783739,Alveolar cell type 2
SRR10785796,Macrophage
SRR10787739,Monocyte non-conventional
SRR10794258,T cell CD8
SRR10786519,Fibroblast adventitial
SRR10783313,Endothelial cell
SRR10793744,other C19
SRR10795207,T cell CD8
SRR10786862,T cell CD4
SRR10783170,T cell CD4
SRR10784174,Epithelial cell other C1
SRR10779188,Epithelial cell other C5
SRR10783283,Epithelial cell other C5
SRR10796740,Fibroblast adventitial
SRR10778845,T cell CD4
SRR10781791,Plasma cell
SRR10785580,other C17
SRR10785190,T cell CD8
SRR10787104,Mesothelial
SRR10783478,Monocyte non-conventional
SRR10785743,Monocyte conventional
SRR10797221,Smooth muscle cell
SRR10781910,Monocyte non-conventional
SRR10781608,NK cell
SRR10794547,NK cell
SRR10795412,cDC2
SRR10789748,NK cell
SRR10790989,Macrophage
SRR10791849,Plasma cell
SRR10784530,Basal
SRR10778286,Plasma cell
SRR10784338,B cell
SRR10786875,other C17
SRR10793806,Epithelial cell other C1
SRR10795045,T cell CD4
SRR10790466,T cell CD8
SRR10794920,B cell
SRR10784051,Epithelial cell other C1
SRR10778792,Ciliated
SRR10786222,Macrophage
SRR10781373,Fibroblast adventitial
SRR10791750,DC mature
SRR10783371,Monocyte conventional
SRR10792274,Plasma cell
SRR10798600,Epithelial cell other C3
SRR10793598,Macrophage
SRR10790780,Pericyte
SRR10790213,T cell CD8
SRR10792790,cDC2
SRR10777743,Plasma cell
SRR10795926,Basal
SRR10793287,Epithelial cell other C1
SRR10783697,cDC2
SRR10788599,T cell CD8
SRR10785724,Epithelial cell other C5
SRR10778581,Plasma cell
SRR10794675,T cell CD8
SRR10797688,B cell
SRR10783412,Macrophage
SRR10786290,Macrophage
SRR10793309,T cell regulatory
SRR10787154,Club
SRR10783841,Plasma cell
SRR10783363,Fibroblast adventitial
SRR10781916,Endothelial cell
SRR10781780,Club
SRR10793681,other C17
SRR10784787,Endothelial cell lymphatic
SRR10777386,Pericyte
SRR10780843,B cell
SRR10792395,Fibroblast adventitial
SRR10789087,Mast cell
SRR10792269,Epithelial cell other C5
SRR10792159,cDC2
SRR10795905,B cell
SRR10787436,Epithelial cell other C1
SRR10789727,NK cell
SRR10777780,Macrophage
SRR10784302,Monocyte non-conventional
SRR10786002,Macrophage
SRR10790508,B cell
SRR10793760,Fibroblast alveolar
SRR10781908,Epithelial cell other C5
SRR10783853,Macrophage
SRR10785981,Macrophage
SRR10784825,Fibroblast adventitial
SRR10791672,T cell regulatory
SRR10784693,Fibroblast adventitial
SRR10790455,NK cell
SRR10794259,cDC2
SRR10790946,Monocyte non-conventional
SRR10781662,Fibroblast adventitial
SRR10797097,Monocyte non-conventional
SRR10777800,Club
SRR10796554,Fibroblast adventitial
SRR10778385,Epithelial cell other C1
SRR10784936,DC mature
SRR10790040,Basal
SRR10779580,Endothelial cell
SRR10782355,T cell CD8
SRR10796005,other C17
SRR10796797,Plasma cell
SRR10792854,Fibroblast alveolar
SRR10781823,Basal
SRR10791198,T cell CD4
SRR10781038,Ciliated
SRR10777848,Plasma cell
SRR10785148,Monocyte non-conventional
SRR10781032,B cell
SRR10790528,Club
SRR10789766,T cell dividing
SRR10787514,T cell CD4
SRR10780637,Macrophage
SRR10794611,Mast cell
SRR10781401,cDC2
SRR10778204,cDC2
SRR10781571,Club
SRR10792193,DC mature
SRR10782034,T cell CD4
SRR10788150,Monocyte non-conventional
SRR10789950,Fibroblast alveolar
SRR10777624,Basal
SRR10796117,Epithelial cell other C1
SRR10791025,Monocyte conventional
SRR10785779,T cell CD8
SRR10779113,Endothelial cell
SRR10788756,Club
SRR10781006,Basal
SRR10782814,Plasma cell
SRR10780593,T cell dividing
SRR10789042,Endothelial cell
SRR10796055,Monocyte non-conventional
SRR10789719,Macrophage
SRR10796437,Macrophage
SRR10797072,T cell CD4
SRR10795851,Monocyte non-conventional
SRR10789489,other C17
SRR10795744,T cell CD8
SRR10783454,other C21
SRR10786835,Smooth muscle cell
SRR10783463,cDC2
SRR10792897,Mast cell
SRR10791002,NK cell
SRR10796297,Monocyte non-conventional
SRR10794286,Epithelial cell other C1
SRR10798199,Monocyte non-conventional
SRR10787925,pDC
SRR10797127,B cell
SRR10797887,Macrophage
SRR10783340,Mast cell
SRR10786975,cDC2
SRR10795326,Plasma cell
SRR10798568,T cell CD8
SRR10778038,Ciliated
SRR10777560,Basal
SRR10778432,Macrophage
SRR10782501,Monocyte conventional
SRR10797871,other C21
SRR10793394,other C21
SRR10794550,Macrophage
SRR10791749,Mesothelial
SRR10791937,other C21
SRR10783701,Basal
SRR10792515,Macrophage
SRR10793972,NK cell
SRR10779531,Macrophage
SRR10780120,Fibroblast adventitial
SRR10782328,Macrophage
SRR10779087,Mesothelial
SRR10788910,Ciliated
SRR10783398,Plasma cell
SRR10790740,NK cell
SRR10780349,Mast cell
SRR10780300,Macrophage
SRR10794791,Macrophage
SRR10780344,B cell
SRR10791931,Monocyte conventional
SRR10786929,Plasma cell
SRR10793835,Basal
SRR10782395,Epithelial cell other C1
SRR10797427,Basal
SRR10780668,Epithelial cell other C5
SRR10788812,T cell CD8
SRR10791609,T cell CD8
SRR10790109,Endothelial cell
SRR10780035,Macrophage
SRR10780326,Monocyte conventional
SRR10793963,pDC
SRR10790458,Plasma cell
SRR10791101,T cell CD8
SRR10779507,Monocyte non-conventional
SRR10779364,Epithelial cell other C1
SRR10796322,Fibroblast adventitial
SRR10798117,Epithelial cell other C1
SRR10787037,Club
SRR10791197,Club
SRR10786702,T cell CD4
SRR10794044,Plasma cell
SRR10786291,Macrophage
SRR10794324,B cell
SRR10795131,Endothelial cell
SRR10795351,Fibroblast adventitial
SRR10790894,Endothelial cell lymphatic
SRR10785446,DC mature
SRR10791529,Endothelial cell
SRR10791687,Fibroblast adventitial
SRR10784494,T cell CD4
SRR10794388,Monocyte conventional
SRR10780881,Macrophage
SRR10790974,cDC2
SRR10785157,Fibroblast adventitial
SRR10798463,T cell CD8
SRR10787760,Club
SRR10785660,DC Lagerhans
SRR10790656,Epithelial cell other C5
SRR10786026,T cell CD4
SRR10796143,T cell CD8
SRR10779231,Macrophage
SRR10782257,Endothelial cell
SRR10788555,other C17
SRR10782939,Monocyte non-conventional
SRR10796286,Endothelial cell
SRR10787508,Macrophage
SRR10785577,T cell CD4
SRR10797609,Basal
SRR10797424,Basal
SRR10795167,Macrophage
SRR10790260,Epithelial cell other C1
SRR10798402,pDC
SRR10778684,Basal
SRR10790046,T cell CD8
SRR10791729,T cell CD8
SRR10798570,NK cell
SRR10789795,Monocyte non-conventional
SRR10785371,Macrophage
SRR10786208,Plasma cell
SRR10792618,T cell dividing
SRR10781112,Mesothelial
SRR10784111,Mast cell
SRR10785405,T cell dividing
SRR10793571,T cell CD4
SRR10793481,Alveolar cell type 2
SRR10783299,T cell CD8
SRR10794138,T cell CD4
SRR10791007,Epithelial cell other C1
SRR10791666,T cell CD4
SRR10784959,Basal
SRR10782400,Alveolar cell type 2
SRR10786102,Epithelial cell other C1
SRR10795546,Epithelial cell other C1
SRR10781058,Macrophage
SRR10794588,Alveolar cell type 2
SRR10777490,pDC
SRR10783973,Macrophage
SRR10794665,B cell
SRR10784206,Mast cell
SRR10793214,Monocyte non-conventional
SRR10792175,other C17
SRR10781988,Endothelial cell
SRR10786700,Endothelial cell
SRR10788209,Mesothelial
SRR10794242,Epithelial cell other C1
SRR10785565,Monocyte conventional
SRR10787041,Endothelial cell
SRR10785211,Plasma cell
SRR10789736,T cell CD8
SRR10779498,Endothelial cell
SRR10781975,NK cell
SRR10795441,Alveolar cell type 2
SRR10786343,Plasma cell
SRR10795419,Fibroblast adventitial
SRR10783945,T cell regulatory
SRR10787194,Epithelial cell other C1
SRR10793602,T cell regulatory
SRR10786005,other C17
SRR10778434,B cell
SRR10790557,Fibroblast adventitial
SRR10781387,Basal
SRR10796993,Alveolar cell type 1
SRR10777834,Epithelial cell other C5
SRR10786319,Plasma cell
SRR10784767,Monocyte non-conventional
SRR10797076,Monocyte conventional
SRR10781298,T cell CD4
SRR10781696,Endothelial cell
SRR10787742,Fibroblast adventitial
SRR10783094,Fibroblast adventitial
SRR10779589,Basal
SRR10785667,T cell CD4
SRR10797478,Macrophage
SRR10784447,T cell CD4
SRR10782232,Monocyte non-conventional
SRR10778743,Macrophage
SRR10791566,Macrophage
SRR10781591,Endothelial cell lymphatic
SRR10794522,Smooth muscle cell
SRR10783530,Macrophage
SRR10782957,DC mature
SRR10797571,Macrophage
SRR10778330,Macrophage
SRR10793158,pDC
SRR10784872,other C21
SRR10778607,Macrophage
SRR10796566,Monocyte conventional
SRR10785128,other C19
SRR10780260,T cell CD8
SRR10777356,Epithelial cell other C1
SRR10797931,Fibroblast alveolar
SRR10797147,Epithelial cell other C1
SRR10780722,Fibroblast adventitial
SRR10795850,Basal
SRR10781981,DC mature
SRR10786190,Fibroblast alveolar
SRR10778749,Fibroblast adventitial
SRR10790607,T cell CD8
SRR10794149,Mast cell
SRR10794559,T cell CD8
SRR10794980,Fibroblast adventitial
SRR10797918,Epithelial cell other C1
SRR10783919,Macrophage
SRR10790706,cDC2
SRR10790190,NK cell
SRR10786140,Ciliated
SRR10786554,Basal
SRR10778075,Fibroblast adventitial
SRR10780414,Macrophage
SRR10780852,Fibroblast adventitial
SRR10795623,Alveolar cell type 2
SRR10793217,pDC
SRR10777890,Plasma cell
SRR10778081,T cell CD4
SRR10788772,T cell regulatory
SRR10782006,Plasma cell
SRR10795408,Club
SRR10791406,Smooth muscle cell
SRR10793717,Epithelial cell other C1
SRR10790586,Epithelial cell other C4
SRR10787226,Epithelial cell other C5
SRR10794998,other C17
SRR10796786,T cell CD8
SRR10794566,other C17
SRR10796927,Macrophage
SRR10780774,Monocyte conventional
SRR10778694,Epithelial cell other C1
SRR10790267,T cell CD4
SRR10778151,Mast cell
SRR10779537,Macrophage
SRR10780625,Endothelial cell
SRR10787176,Basal
SRR10796633,Macrophage
SRR10790265,T cell CD4
SRR10785597,Macrophage
SRR10784393,Plasma cell
SRR10781947,pDC
SRR10789513,Epithelial cell other C5
SRR10777292,other C17
SRR10784270,B cell
SRR10789696,Epithelial cell other C5
SRR10791340,T cell CD8
SRR10787275,T cell CD8
SRR10783289,Endothelial cell
SRR10790976,cDC2
SRR10785013,Macrophage
SRR10780380,T cell CD4
SRR10790581,Epithelial cell other C5
SRR10788895,Alveolar cell type 2
SRR10791479,Plasma cell
SRR10789635,Fibroblast adventitial
SRR10780183,Mast cell
SRR10778086,Mast cell
SRR10779723,Fibroblast alveolar
SRR10796581,T cell CD4
SRR10778369,Plasma cell
SRR10798550,Mesothelial
SRR10782427,cDC2
SRR10779323,T cell CD4
SRR10780404,Alveolar cell type 2
SRR10777429,Fibroblast adventitial
SRR10796975,T cell CD4
SRR10789039,Plasma cell
SRR10785238,B cell
SRR10792334,Alveolar cell type 2
SRR10779209,Plasma cell
SRR10796979,Mast cell
SRR10793574,Mast cell
SRR10779149,Fibroblast adventitial
SRR10796251,Club
SRR10784402,other C17
SRR10791248,other C17
SRR10792965,Epithelial cell other C5
SRR10780480,B cell
SRR10795010,Macrophage
SRR10778957,T cell CD8
SRR10792468,Fibroblast adventitial
SRR10779606,Monocyte conventional
SRR10798165,other C17
SRR10795706,Epithelial cell other C1
SRR10786351,Epithelial cell dividing
SRR10787016,Mast cell
SRR10781569,Endothelial cell
SRR10778062,T cell CD4
SRR10787149,B cell
SRR10793708,Epithelial cell other C5
SRR10787379,Macrophage
SRR10792257,DC mature
SRR10778634,Monocyte non-conventional
SRR10796616,Macrophage
SRR10791016,Macrophage
SRR10789738,Basal
SRR10787630,Pericyte
SRR10778660,T cell CD4
SRR10778015,T cell CD8
SRR10789094,Macrophage
SRR10795117,Macrophage
SRR10795361,T cell dividing
SRR10779398,B cell
SRR10785041,Alveolar cell type 2
SRR10794845,other C21
SRR10788334,Epithelial cell other C5
SRR10793693,T cell CD8
SRR10782199,Mast cell
SRR10791155,Fibroblast adventitial
SRR10794823,Epithelial cell other C4
SRR10790559,Epithelial cell other C5
SRR10782294,Macrophage
SRR10779294,DC mature
SRR10795915,Endothelial cell
SRR10796627,Basal
SRR10785334,Macrophage
SRR10793068,T cell CD4
SRR10778892,Monocyte non-conventional
SRR10784344,T cell CD4
SRR10790351,Macrophage
SRR10781088,Smooth muscle cell
SRR10788617,Alveolar cell type 1
SRR10780400,Basal
SRR10788354,Basal
SRR10791815,Mast cell
SRR10783896,Alveolar cell type 2
SRR10785892,Mast cell
SRR10783070,Epithelial cell other C4
SRR10785203,cDC2
SRR10785813,Plasma cell
SRR10797888,Macrophage
SRR10793782,Macrophage
SRR10785499,Mast cell
SRR10790460,Macrophage
SRR10792322,other C19
SRR10788128,Epithelial cell other C4
SRR10792531,T cell CD8
SRR10789764,Club
SRR10787689,Monocyte non-conventional
SRR10786231,Club
SRR10781377,Endothelial cell
SRR10781226,T cell CD4
SRR10783865,Plasma cell
SRR10786516,Macrophage
SRR10780504,Endothelial cell
SRR10795907,Macrophage
SRR10779312,Fibroblast adventitial
SRR10790734,Fibroblast adventitial
SRR10790151,Plasma cell
SRR10790917,cDC1
SRR10785028,Macrophage
SRR10794716,Plasma cell
SRR10793332,Fibroblast alveolar
SRR10785645,Macrophage
SRR10797810,NK cell
SRR10791935,T cell CD8
SRR10779529,T cell CD8
SRR10788786,Pericyte
SRR10792569,Macrophage
SRR10787453,B cell
SRR10789866,DC mature
SRR10789186,T cell CD8
SRR10781541,Pericyte
SRR10798379,Epithelial cell other C3
SRR10791263,T cell CD4
SRR10777329,Monocyte conventional
SRR10793774,Epithelial cell other C5
SRR10787681,Monocyte non-conventional
SRR10786931,Plasma cell
SRR10785517,Macrophage
SRR10779139,T cell CD4
SRR10777565,Basal
SRR10796419,Basal
SRR10786330,Mesothelial
SRR10788504,Alveolar cell type 2
SRR10789788,Macrophage
SRR10789376,Alveolar cell type 1
SRR10798171,Epithelial cell other C1
SRR10788817,B cell
SRR10784144,Endothelial cell
SRR10797822,T cell CD4
SRR10787296,Macrophage
SRR10791504,Epithelial cell other C5
SRR10789631,T cell CD4
SRR10786504,Smooth muscle cell
SRR10795960,Fibroblast adventitial
SRR10786169,Epithelial cell other C1
SRR10777419,cDC2
SRR10783493,Basal
SRR10782573,Pericyte
SRR10777909,Endothelial cell
SRR10781295,Club
SRR10790566,Basal
SRR10783928,Epithelial cell other C5
SRR10791456,Monocyte non-conventional
SRR10797141,Plasma cell
SRR10794648,Epithelial cell other C1
SRR10779070,Plasma cell
SRR10782686,Fibroblast adventitial
SRR10783026,DC mature
SRR10797549,Endothelial cell
SRR10785995,T cell CD8
SRR10780581,Macrophage
SRR10785726,B cell
SRR10791151,T cell CD4
SRR10790129,other C19
SRR10779214,Mast cell
SRR10793207,Smooth muscle cell
SRR10791745,Club
SRR10793544,Macrophage
SRR10787263,Plasma cell
SRR10787985,Monocyte conventional
SRR10795451,Mast cell
SRR10788204,Epithelial cell other C1
SRR10798352,Monocyte non-conventional
SRR10797469,Plasma cell
SRR10791422,Club
SRR10790836,Endothelial cell
SRR10780029,Macrophage
SRR10782682,Ionocyte
SRR10787085,Club
SRR10783569,Macrophage
SRR10792141,Macrophage
SRR10794314,T cell regulatory
SRR10778871,NK cell
SRR10792625,B cell
SRR10792138,Monocyte non-conventional
SRR10791051,Monocyte non-conventional
SRR10781985,Macrophage
SRR10796295,Club
SRR10779289,T cell CD4
SRR10788777,Alveolar cell type 2
SRR10791252,other C19
SRR10789863,T cell CD8
SRR10786278,Monocyte conventional
SRR10793473,cDC2
SRR10782335,T cell CD4
SRR10794563,Basal
SRR10780578,Endothelial cell
SRR10791471,T cell dividing
SRR10787858,Alveolar cell type 1
SRR10798028,Alveolar cell type 2
SRR10780167,pDC
SRR10780153,T cell CD8
SRR10779179,Monocyte non-conventional
SRR10795636,B cell
SRR10782205,Endothelial cell lymphatic
SRR10791722,Epithelial cell other C1
SRR10794943,Macrophage
SRR10790875,T cell CD8
SRR10793050,B cell
SRR10787458,Club
SRR10790118,Endothelial cell
SRR10777801,Smooth muscle cell
SRR10777859,Monocyte non-conventional
SRR10794667,other C19
SRR10779953,Monocyte non-conventional
SRR10783474,T cell CD8
SRR10782145,Smooth muscle cell
SRR10797121,NK cell
SRR10789597,Smooth muscle cell
SRR10797481,T cell CD4
SRR10778168,Macrophage
SRR10777395,Club
SRR10798427,Alveolar cell type 2
SRR10790145,T cell CD4
SRR10785273,NK cell
SRR10786999,B cell
SRR10785559,pDC
SRR10797156,Endothelial cell
SRR10777300,Basal
SRR10778021,T cell CD4
SRR10784888,Plasma cell
SRR10792200,Macrophage
SRR10794207,T cell CD8
SRR10777952,T cell CD8
SRR10781100,Endothelial cell
SRR10789200,other C33
SRR10781812,Macrophage
SRR10795771,Basal
SRR10779491,T cell dividing
SRR10780245,Epithelial cell other C5
SRR10785740,Epithelial cell other C1
SRR10792829,Endothelial cell
SRR10779765,B cell
SRR10793311,Fibroblast adventitial
SRR10781896,DC mature
SRR10781323,T cell CD8
SRR10789813,Epithelial cell other C5
SRR10782370,Mast cell
SRR10786771,Alveolar cell type 1
SRR10783525,T cell CD8
SRR10787745,Club
SRR10779384,T cell CD4
SRR10789044,Mast cell
SRR10791536,B cell
SRR10784082,cDC2
SRR10794725,Plasma cell
SRR10792604,Monocyte non-conventional
SRR10789436,Plasma cell
SRR10783992,Macrophage
SRR10797764,T cell regulatory
SRR10798153,Alveolar cell type 2
SRR10793984,Ciliated
SRR10783499,Macrophage
SRR10792698,Epithelial cell other C1
SRR10791493,Basal
SRR10787350,Alveolar cell type 1
SRR10789585,Plasma cell
SRR10792752,Basal
SRR10793898,Macrophage
SRR10792592,T cell CD8
SRR10781963,T cell CD8
SRR10796542,Fibroblast adventitial
SRR10796298,Monocyte conventional
SRR10778690,Fibroblast adventitial
SRR10783935,Epithelial cell other C5
SRR10786468,Alveolar cell type 2
SRR10797787,T cell CD4
SRR10784690,B cell
SRR10790179,T cell CD8
SRR10788373,Epithelial cell other C1
SRR10788970,Basal
SRR10786098,Epithelial cell other C5
SRR10790952,T cell CD8
SRR10786939,cDC2
SRR10797433,Mast cell
SRR10778149,T cell CD8
SRR10788923,other C19
SRR10791475,Endothelial cell
SRR10796196,T cell CD8
SRR10789847,NK cell
SRR10787764,Macrophage
SRR10781806,T cell CD8
SRR10784108,Monocyte non-conventional
SRR10787272,Fibroblast alveolar
SRR10781578,other C17
SRR10788363,cDC2
SRR10791700,Basal
SRR10798167,T cell CD8
SRR10793361,T cell CD4
SRR10778628,other C17
SRR10779035,pDC
SRR10779116,Fibroblast adventitial
SRR10781716,Epithelial cell other C1
SRR10783592,NK cell
SRR10779969,T cell CD4
SRR10781276,B cell
SRR10790768,Macrophage
SRR10794656,Macrophage
SRR10779319,T cell CD8
SRR10781280,Monocyte non-conventional
SRR10788270,Macrophage
SRR10792690,cDC2
SRR10795067,Basal
SRR10779146,Mast cell
SRR10779418,Basal
SRR10785838,Monocyte non-conventional
SRR10786123,T cell CD8
SRR10787433,Epithelial cell other C1
SRR10786540,Monocyte conventional
SRR10780255,Endothelial cell
SRR10791619,Ciliated
SRR10782835,Macrophage
SRR10794909,Endothelial cell
SRR10790208,T cell CD8
SRR10785713,Epithelial cell other C4
SRR10798530,T cell regulatory
SRR10780809,Monocyte non-conventional
SRR10797862,Epithelial cell other C1
SRR10784454,T cell CD4
SRR10787425,Fibroblast adventitial
SRR10788954,Macrophage
SRR10792952,other C32
SRR10777260,Plasma cell
SRR10787646,Endothelial cell
SRR10796136,cDC2
SRR10777752,Plasma cell
SRR10793941,T cell CD4
SRR10798089,T cell CD4
SRR10787922,Mast cell
SRR10778202,T cell CD4
SRR10786320,Endothelial cell
SRR10786517,Macrophage
SRR10790627,Basal
SRR10788343,Plasma cell
SRR10788509,T cell dividing
SRR10794228,Fibroblast alveolar
SRR10797497,other C32
SRR10788993,Fibroblast adventitial
SRR10786902,Epithelial cell other C4
SRR10794402,T cell CD8
SRR10795485,B cell
SRR10792791,Endothelial cell
SRR10783335,Epithelial cell other C1
SRR10798096,Fibroblast adventitial
SRR10778153,other C17
SRR10786826,Club
SRR10785260,Monocyte non-conventional
SRR10783406,T cell CD8
SRR10781927,Endothelial cell
SRR10783817,Endothelial cell
SRR10783698,T cell dividing
SRR10781439,Pericyte
SRR10788677,T cell CD8
SRR10784919,DC mature
SRR10781582,Macrophage
SRR10783465,T cell CD4
SRR10796563,T cell regulatory
SRR10779894,Plasma cell
SRR10777843,B cell
SRR10798289,Monocyte non-conventional
SRR10793709,Epithelial cell other C5
SRR10777442,T cell CD4
SRR10784949,T cell CD8
SRR10797155,Pericyte
SRR10786832,Epithelial cell other C4
SRR10790791,other C19
SRR10794049,Mast cell
SRR10789567,NK cell
SRR10787633,Plasma cell
SRR10791701,T cell CD4
SRR10796157,Monocyte non-conventional
SRR10794599,B cell
SRR10778671,Monocyte non-conventional
SRR10787434,Epithelial cell other C1
SRR10797884,T cell CD4
SRR10797503,Smooth muscle cell
SRR10780893,Epithelial cell other C1
SRR10779833,T cell CD4
SRR10791186,Endothelial cell
SRR10785914,Monocyte non-conventional
SRR10794557,T cell CD8
SRR10796479,T cell CD4
SRR10787994,T cell CD8
SRR10790074,Macrophage
SRR10787954,Fibroblast adventitial
SRR10779427,T cell CD8
SRR10794124,Epithelial cell other C2
SRR10779428,Epithelial cell other C5
SRR10792996,NK cell
SRR10791463,T cell CD4
SRR10794942,Smooth muscle cell
SRR10796097,NK cell
SRR10790756,T cell CD8
SRR10787371,Epithelial cell other C2
SRR10785396,Monocyte non-conventional
SRR10785188,Macrophage
SRR10797687,T cell CD4
SRR10795467,Fibroblast adventitial
SRR10787798,cDC2
SRR10784123,Mast cell
SRR10797282,Epithelial cell other C1
SRR10787114,Basal
SRR10788986,Monocyte non-conventional
SRR10780064,Monocyte non-conventional
SRR10790352,cDC2
SRR10794991,Pericyte
SRR10777663,Fibroblast adventitial
SRR10795400,B cell
SRR10784209,Basal
SRR10796434,T cell CD4
SRR10785167,Monocyte non-conventional
SRR10788498,cDC2
SRR10780365,Macrophage
SRR10791443,Macrophage
SRR10784131,Plasma cell
SRR10789188,B cell
SRR10797083,B cell
SRR10785021,DC mature
SRR10793956,Plasma cell
SRR10788221,Alveolar cell type 2
SRR10796211,Fibroblast adventitial
SRR10795262,Monocyte non-conventional
SRR10777622,Fibroblast adventitial
SRR10777463,Macrophage
SRR10790404,cDC2
SRR10792235,Fibroblast adventitial
SRR10796773,Endothelial cell
SRR10788645,Basal
SRR10780872,Plasma cell
SRR10779810,Ciliated
SRR10792327,Monocyte non-conventional
SRR10779660,Mast cell
SRR10785204,Smooth muscle cell
SRR10796853,Club
SRR10786275,Macrophage
SRR10785360,T cell CD4
SRR10786170,Epithelial cell other C1
SRR10798559,Fibroblast adventitial
SRR10793104,Basal
SRR10787231,Basal
SRR10787440,T cell CD4
SRR10778435,Macrophage
SRR10788951,B cell
SRR10781752,Pericyte
SRR10782188,NK cell
SRR10782326,Epithelial cell other C1
SRR10783230,Club
SRR10797723,Fibroblast adventitial
SRR10789455,Epithelial cell other C4
SRR10790729,T cell CD8
SRR10783269,pDC
SRR10796383,T cell CD8
SRR10793743,T cell CD4
SRR10796498,Fibroblast adventitial
SRR10789209,Plasma cell
SRR10798390,Basal
SRR10785062,Epithelial cell other C5
SRR10784510,Fibroblast alveolar
SRR10795473,Plasma cell
SRR10793360,T cell CD4
SRR10779200,Endothelial cell
SRR10783153,Macrophage
SRR10780201,B cell
SRR10790394,Plasma cell
SRR10788087,Epithelial cell other C4
SRR10790871,T cell CD8
SRR10788816,B cell
SRR10794354,Ionocyte
SRR10797196,Epithelial cell other C1
SRR10792199,Epithelial cell other C1
SRR10797538,Plasma cell
SRR10797285,Epithelial cell other C1
SRR10778061,Fibroblast adventitial
SRR10777322,Epithelial cell other C5
SRR10788181,T cell CD8
SRR10779473,Ciliated
SRR10791894,Macrophage
SRR10792401,Epithelial cell other C1
SRR10797322,other C17
SRR10780246,Epithelial cell other C5
SRR10786911,Macrophage
SRR10782264,Macrophage
SRR10798487,Mesothelial
SRR10781466,Monocyte non-conventional
SRR10784721,T cell CD4
SRR10777669,T cell CD8
SRR10785112,Mast cell
SRR10790883,Epithelial cell other C1
SRR10786437,Epithelial cell other C1
SRR10778427,Basal
SRR10790155,Endothelial cell
SRR10781581,T cell CD4
SRR10793852,Epithelial cell other C1
SRR10793685,other C21
SRR10789173,Plasma cell
SRR10795127,Mesothelial
SRR10783397,B cell
SRR10778518,Endothelial cell
SRR10794061,Macrophage
SRR10787159,Macrophage
SRR10790597,Macrophage
SRR10794491,Epithelial cell other C5
SRR10796576,Basal
SRR10777538,Monocyte non-conventional
SRR10784597,Fibroblast adventitial
SRR10791948,T cell regulatory
SRR10796545,Plasma cell
SRR10798147,Macrophage
SRR10789563,Endothelial cell
SRR10789509,other C19
SRR10786637,Smooth muscle cell
SRR10786904,Monocyte non-conventional
SRR10779630,Plasma cell
SRR10787141,Pericyte
SRR10787424,Macrophage
SRR10792011,Club
SRR10794408,Fibroblast adventitial
SRR10778726,Fibroblast adventitial
SRR10797014,Fibroblast adventitial
SRR10778567,Club
SRR10788699,T cell CD4
SRR10778016,T cell CD8
SRR10794664,T cell CD4
SRR10781913,Pericyte
SRR10797844,Alveolar cell type 2
SRR10792917,T cell dividing
SRR10789051,Club
SRR10788162,Macrophage
SRR10795284,Smooth muscle cell
SRR10786466,Club
SRR10793990,Basal
SRR10777805,other C17
SRR10797875,Endothelial cell
SRR10796405,Fibroblast adventitial
SRR10787028,T cell CD4
SRR10794726,T cell CD8
SRR10793517,T cell CD8
SRR10798053,pDC
SRR10796222,Macrophage
SRR10780856,Macrophage
SRR10781760,Pericyte
SRR10778769,other C19
SRR10795461,other C33
SRR10786908,Fibroblast adventitial
SRR10787089,T cell CD4
SRR10789059,Club
SRR10788602,B cell
SRR10797853,Macrophage
SRR10781140,Fibroblast adventitial
SRR10778802,Basal
SRR10781561,T cell CD4
SRR10790702,T cell CD8
SRR10780175,NK cell
SRR10795157,Fibroblast adventitial
SRR10786807,Club
SRR10792296,Alveolar cell type 2
SRR10780826,Club
SRR10797472,Macrophage
SRR10779359,Macrophage
SRR10787550,Ciliated
SRR10789152,Fibroblast adventitial
SRR10790064,Epithelial cell other C4
SRR10783113,Endothelial cell
SRR10788043,T cell CD8
SRR10797517,Macrophage
SRR10793107,Epithelial cell other C1
